,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
2294,P,EKO,G6,SRJN,GRD,PS,LTW
6282,P,HUK,G4,SMTA,GRD,PNS,LTW
2248,P,EKO,G3,SRJN,PNS,BPN,LTW
731,P,AKU,G3,SRJN,GRD,LL,LTW
1950,L,EKO,G3,SRJN,LL,PDG,LTW
6234,P,HUK,G3,SMTA,PS,PSN,LTW
6152,L,HUK,G4,SMTA,PNS,ABRI,LTW
952,P,AKU,G4,SRJN,PNS,PS,LTW
5794,P,HUK,G4,SMTA,LL,ABRI,LTW
6109,L,HUK,G4,SMTA,PS,PS,LTW
3253,P,KOM,G4,SRJN,PDG,LL,LTW
2091,L,EKO,G4,SMTA,LL,PS,LTW
5450,P,HUK,G3,SRJN,GRD,PSN,LTW
5620,L,HUK,G3,SRJN,GRD,GRD,LTW
1912,P,EKO,G4,SD,PDG,PDG,LTW
6274,L,HUK,G3,SRJN,PDG,PNS,LTW
2027,P,EKO,G4,SD,PDG,PDG,LTW
2067,L,EKO,G3,SRJN,GRD,PS,LTW
973,P,AKU,G4,SRJN,PDG,GRD,LTW
5792,L,HUK,G5,SMTA,PDG,PDG,LTW
1205,P,AKU,G5,SMTA,PNS,PS,LTW
1015,P,AKU,G4,SRJN,LL,ABRI,LTW
1949,L,EKO,G4,SRJN,GRD,PNS,LTW
3226,P,KOM,G2,LL,PDG,BPN,LTW
790,P,AKU,G5,SRJN,PDG,GRD,LTW
1144,P,AKU,G4,SRJN,GRD,GRD,LTW
3326,P,KOM,G4,SRJN,LL,PS,LTW
6147,L,HUK,G3,SRJN,LL,GRD,LTW
5943,P,HUK,G4,SRJN,PNS,PNS,LTW
6357,L,HUK,G3,SMTA,PS,PDG,LTW
5780,P,HUK,G4,SMTA,LL,PNS,LTW
1211,P,AKU,G4,SMTA,PS,PDG,LTW
6189,P,HUK,G4,SMTA,LL,PSN,LTW
2136,P,EKO,G3,SMTA,LL,PSN,LTW
2228,P,EKO,G2,SMP,LL,BPN,LTW
859,P,AKU,G4,SRJN,GRD,LL,LTW
5506,P,HUK,G5,SRJN,GRD,PNS,LTW
911,P,AKU,G3,SMTA,LL,PDG,LTW
6278,P,HUK,G4,SMTA,LL,PNS,LTW
1834,L,EKO,G3,SMTA,PDG,PDG,LTW
915,P,AKU,G4,SRJN,GRD,GRD,LTW
5559,P,HUK,G4,SRJN,PNS,PNS,LTW
1947,P,EKO,G3,SD,PDG,PDG,LTW
1016,P,AKU,G5,SRJN,PNS,GRD,LTW
6298,P,HUK,G3,SRJN,PDG,GRD,LTW
6028,P,HUK,G4,SRJN,PNS,PSN,LTW
2090,L,EKO,G5,SRJN,GRD,LL,LTW
6121,P,HUK,G4,SMTA,PNS,LL,LTW
5896,L,HUK,G6,SRJN,GRD,GRD,LTW
2274,P,EKO,G3,SRJN,PS,PS,LTW
2290,P,EKO,G2,SD,BPN,BPN,LTW
782,P,AKU,G4,SMTA,PDG,PS,LTW
5829,L,HUK,G1,SMP,LL,PSN,LTW
5727,P,HUK,G4,SRJN,PDG,PDG,LTW
6294,L,HUK,G4,SMTA,PS,PS,LTW
1813,P,EKO,G3,SRJN,PS,GRD,LTW
5820,P,HUK,G5,SMP,LL,PDG,LTW
2035,P,EKO,G2,SD,LL,PNS,LTW
1149,L,AKU,G7,SRJN,PNS,PDG,LTW
5934,P,HUK,G4,SMTA,PDG,LL,LTW
5765,P,HUK,G6,SMTA,PDG,PS,LTW
874,P,AKU,G4,SRJN,PNS,PDG,LTW
5808,P,HUK,G5,SRJN,GRD,PSN,LTW
738,P,AKU,G4,SRJN,GRD,PNS,LTW
5571,P,HUK,G4,SMTA,LL,PNS,LTW
2194,P,EKO,G4,SMTA,PDG,GRD,LTW
2029,L,EKO,G1,SD,BPN,BPN,LTW
3272,L,KOM,G4,SRJN,GRD,GRD,LTW
6303,L,HUK,G5,SRJN,GRD,PS,LTW
6089,L,HUK,G3,SMTA,LL,PDG,LTW
2269,L,EKO,G3,SRJN,PDG,PS,LTW
5416,P,HUK,G5,SRJN,PNS,PNS,LTW
1904,L,EKO,G3,SRJN,GRD,GRD,LTW
980,L,AKU,G3,SRJN,PSN,PSN,LTW
6095,P,HUK,G3,SMTA,LL,PDG,LTW
6029,P,HUK,G7,SRJN,LL,PS,LTW
6264,L,HUK,G2,SRJN,PSN,PDG,LTW
5639,L,HUK,G3,SMTA,PDG,PDG,LTW
5668,L,HUK,G4,SMTA,LL,PS,LTW
2206,L,EKO,G3,SMTA,LL,PNS,LTW
6242,P,HUK,G4,SMTA,PDG,PDG,LTW
2298,L,EKO,G4,SRJN,PNS,PNS,LTW
1029,P,AKU,G3,SD,BPN,BPN,LTW
2225,P,EKO,G4,SMTA,LL,PS,LTW
1053,L,AKU,G4,SMTA,PDG,PSN,LTW
2309,P,EKO,G5,LL,PSN,GRD,LTW
2275,P,EKO,G2,SMP,BPN,BPN,LTW
5523,L,HUK,G3,SMTA,LL,PDG,LTW
6046,L,HUK,G4,SMTA,LL,PNS,LTW
1182,P,AKU,G3,SMTA,LL,PS,LTW
6352,P,HUK,G6,SRJN,PNS,GRD,LTW
2300,P,EKO,G4,SMTA,PDG,PSN,LTW
6372,L,HUK,G6,SRJN,PDG,PDG,LTW
5417,L,HUK,G3,SD,PDG,PDG,LTW
1027,L,AKU,G4,SRJN,GRD,PNS,LTW
2135,P,EKO,G3,SMTA,PDG,PDG,LTW
2268,P,EKO,G4,SRJN,GRD,GRD,LTW
1958,P,EKO,G4,SMTA,LL,ABRI,LTW
5447,P,HUK,G4,SRJN,PSN,GRD,LTW
6279,L,HUK,G3,SMTA,PDG,PDG,LTW
781,P,AKU,G7,SMTA,LL,PS,LTW
5989,P,HUK,G2,SMTA,PSN,PSN,LTW
2141,P,EKO,G3,SMTA,LL,PS,LTW
838,P,AKU,G3,SMTA,LL,PS,LTW
2251,P,EKO,G4,SRJN,LL,PNS,LTW
896,P,AKU,G3,SMTA,LL,GRD,LTW
706,L,AKU,G4,SMTA,LL,PNS,LTW
1090,P,AKU,G4,SMTA,LL,PSN,LTW
686,P,AKU,G3,SMTA,LL,PNS,LTW
