,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
424,L,FISIKA,G4,SD,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LLW
225,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
246,P,FISIKA,G3,SD,LL,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1789,P,BIO,G5,SRJN,GRD,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
900,L,MTK,G1,SMTA,PS,PS,IPS1_M,IPS2_M,SKS1_C,SKS2_B,LLW
925,P,MTK,G2,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1057,P,MTK,G5,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
2226,L,IF,G4,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
199,P,FISIKA,G2,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
2089,L,IF,G4,SMTA,LL,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
2372,P,IF,G3,SRJN,GRD,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
333,P,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1038,P,MTK,G4,SRJN,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1220,P,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1768,P,BIO,G3,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1839,P,BIO,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_M,SKS1_B,SKS2_SB,LLW
2054,L,IF,G3,SMTA,GRD,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
2152,P,IF,G3,SRJN,GRD,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1727,P,BIO,G3,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
911,L,MTK,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1289,P,MTK,G4,SRJN,PNS,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
1091,L,MTK,G3,SMTA,LL,PDG,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
1865,P,BIO,G3,SD,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
2284,P,IF,G2,SMP,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
449,L,FISIKA,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
1036,P,MTK,G2,SRJN,GRD,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
420,L,FISIKA,G3,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
958,L,MTK,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
929,L,MTK,G2,SD,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1639,P,BIO,G3,SD,BPN,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
917,P,MTK,G1,SMTA,PDG,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
2000,P,BIO,G3,SMP,PS,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
1118,P,MTK,G1,SD,PDG,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1208,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
1575,L,BIO,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
510,P,FISIKA,G3,SRJN,GRD,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
896,P,MTK,G2,LL,BPN,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1132,P,MTK,G5,SMTA,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
423,P,FISIKA,G3,SRJN,GRD,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1537,L,BIO,G1,LL,BPN,BPN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_K,LLW
828,L,MTK,G3,SD,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
317,L,FISIKA,G3,SMP,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2195,L,IF,G1,SD,BPN,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
473,P,FISIKA,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
1012,L,MTK,G4,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2247,P,IF,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
1830,P,BIO,G2,SMTA,GRD,BPN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
2199,L,IF,G4,SRJN,PDG,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
2055,L,IF,G2,SMTA,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LLW
346,P,FISIKA,G4,SMTA,LL,PNS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
406,P,FISIKA,G3,SMTA,LL,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
397,P,FISIKA,G4,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2062,P,IF,G3,SRJN,PNS,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
1984,P,BIO,G3,SRJN,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
2308,L,IF,G5,SRJN,GRD,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1223,P,MTK,G2,SMP,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2134,P,IF,G2,SD,LL,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1852,L,BIO,G4,SMTA,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1146,P,MTK,G2,SD,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1956,P,BIO,G4,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
884,L,MTK,G3,SRJN,PDG,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
