,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
1808,L,EKO,G3,SMTA,LL,ABRI,IPS1_M,IPS2_KM,IPK_KM-LLW
1813,P,EKO,G3,SRJN,PS,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
1814,P,EKO,G3,SMTA,PDG,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1826,P,EKO,G3,SMTA,PDG,PSN,IPS1_SM,IPS2_SM,IPK_KM-LLW
1827,L,EKO,G3,SMTA,PSN,LL,IPS1_SM,IPS2_SM,IPK_SM-LTW
1828,P,EKO,G4,SMTA,LL,PSN,IPS1_SM,IPS2_SM,IPK_KM-LLW
1829,P,EKO,G3,SMTA,LL,PDG,IPS1_M,IPS2_KM,IPK_KM-LLW
1833,L,EKO,G2,LL,BPN,BPN,IPS1_M,IPS2_KM,IPK_KM-LLW
1834,L,EKO,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_SM,IPK_SM-LTW
1835,P,EKO,G3,SRJN,LL,LL,IPS1_CUM,IPS2_SM,IPK_KM-LLW
1836,L,EKO,G3,SRJN,LL,GRD,IPS1_KM,IPS2_M,IPK_SM-LLW
1840,L,EKO,G3,SMP,PDG,BPN,IPS1_SM,IPS2_KM,IPK_KM-LLW
1841,P,EKO,G3,SMTA,GRD,PNS,IPS1_M,IPS2_KM,IPK_SM-LLW
1845,L,EKO,G2,SD,BPN,PDG,IPS1_M,IPS2_SM,IPK_SM-LLW
1847,P,EKO,G2,SD,PDG,BPN,IPS1_SM,IPS2_SM,IPK_KM-LLW
1848,L,EKO,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_M,IPK_KM-LLW
1850,P,EKO,G3,SMTA,PS,PDG,IPS1_M,IPS2_SM,IPK_CUM-LTW
1851,L,EKO,G2,LL,BPN,BPN,IPS1_SM,IPS2_SM,IPK_KM-LLW
1853,P,EKO,G4,SRJN,LL,PNS,IPS1_CUM,IPS2_SM,IPK_KM-LLW
1855,L,EKO,G2,LL,LL,BPN,IPS1_M,IPS2_SM,IPK_SM-LLW
1859,P,EKO,G3,SMP,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1875,L,EKO,G3,SD,PDG,GRD,IPS1_KM,IPS2_KM,IPK_KM-LLW
1877,P,EKO,G4,SRJN,PDG,GRD,IPS1_KM,IPS2_KM,IPK_SM-LTW
1882,P,EKO,G2,SMP,PDG,PDG,IPS1_SM,IPS2_M,IPK_KM-LLW
1883,L,EKO,G2,SMTA,PDG,LL,IPS1_KM,IPS2_KM,IPK_M-LLW
1893,P,EKO,G4,SRJN,PS,PS,IPS1_SM,IPS2_M,IPK_SM-LTW
1900,P,EKO,G3,SMTA,PSN,PSN,IPS1_KM,IPS2_KM,IPK_SM-LLW
1901,L,EKO,G2,SMTA,PDG,PDG,IPS1_M,IPS2_SM,IPK_KM-LLW
1903,L,EKO,G2,SMP,PDG,PDG,IPS1_KM,IPS2_M,IPK_KM-LLW
1904,L,EKO,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1905,L,EKO,G3,SMTA,LL,PSN,IPS1_KM,IPS2_KM,IPK_KM-LLW
1912,P,EKO,G4,SD,PDG,PDG,IPS1_KM,IPS2_SM,IPK_SM-LTW
1913,P,EKO,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_M,IPK_SM-LTW
1918,P,EKO,G2,SRJN,LL,PDG,IPS1_M,IPS2_M,IPK_KM-LLW
1919,P,EKO,G6,SRJN,LL,PNS,IPS1_SM,IPS2_M,IPK_KM-LLW
1921,P,EKO,G4,SD,PDG,PDG,IPS1_KM,IPS2_KM,IPK_SM-LLW
1928,L,EKO,G7,SMTA,PNS,PS,IPS1_M,IPS2_KM,IPK_KM-LLW
1935,L,EKO,G3,SMTA,LL,PSN,IPS1_KM,IPS2_KM,IPK_KM-LLW
1940,P,EKO,G4,SRJN,PS,PNS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1942,L,EKO,G2,SMTA,LL,PDG,IPS1_M,IPS2_KM,IPK_SM-LLW
1944,L,EKO,G3,SMTA,PNS,PNS,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
1947,P,EKO,G3,SD,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1949,L,EKO,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1950,L,EKO,G3,SRJN,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1951,L,EKO,G4,LL,LL,PS,IPS1_M,IPS2_M,IPK_SM-LLW
1952,L,EKO,G2,SMTA,LL,PS,IPS1_M,IPS2_M,IPK_SM-LTW
1953,L,EKO,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,IPK_SM-LLW
1955,L,EKO,G5,SRJN,PDG,PS,IPS1_M,IPS2_SM,IPK_SM-LTW
1963,P,EKO,G4,SRJN,PNS,PNS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
1964,P,EKO,G4,SMTA,LL,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
