,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
197,L,FISIKA,G4,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
198,L,FISIKA,G3,SD,PDG,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
199,P,FISIKA,G3,SMTA,LL,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
200,L,FISIKA,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
201,P,FISIKA,G4,SMP,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
202,P,FISIKA,G3,SMTA,PS,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
203,P,FISIKA,G3,SMP,LL,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
204,P,FISIKA,G2,SD,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
205,P,FISIKA,G2,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
206,P,FISIKA,G2,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
207,P,FISIKA,G2,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
208,P,FISIKA,G3,SMTA,LL,PNS,IPS1_M,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
209,L,FISIKA,G3,SMTA,LL,ABRI,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
210,L,FISIKA,G3,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
211,P,FISIKA,G3,SRJN,GRD,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
212,L,FISIKA,G4,SD,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
213,P,FISIKA,G2,SD,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
214,P,FISIKA,G2,SD,LL,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
215,P,FISIKA,G2,SMP,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
216,P,FISIKA,G3,SD,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
217,P,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
218,P,FISIKA,G3,SMP,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
219,P,FISIKA,G4,SMP,PDG,ABRI,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
220,P,FISIKA,G3,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
221,L,FISIKA,G4,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
222,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
