@relation data_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","AKU","G1","SMTA","LL","LL","LLW_1"
"L","AKU","G4","SMTA","PDG","GRD","LLW_1"
"P","AKU","G3","SRJN","PDG","PDG","LTW"
"P","AKU","G2","LL","LL","BPN","LTW"
"P","AKU","G4","SRJN","GRD","LL","LC"
"P","AKU","G3","SMTA","PDG","PDG","LTW"
"L","AKU","G4","SMTA","PDG","PSN","LTW"
"L","AKU","G4","SRJN","LL","PSN","LLW_1"
"P","AKU","G3","SMTA","LL","LL","LLW_1"
"P","AKU","G4","SRJN","GRD","PDG","LTW"
"L","AKU","G5","SRJN","PS","LL","LLW_1"
"L","AKU","G5","SRJN","GRD","GRD","LTW"
"L","AKU","G3","SMP","PDG","PSN","LLW_1"
"P","AKU","G3","SMTA","LL","PS","LLW_1"
"L","AKU","G4","SRJN","PS","PNS","LTW"
"P","AKU","G4","SMP","PDG","PDG","LTW"
"L","AKU","G3","SMTA","LL","PSN","LLW_1"
"P","AKU","G4","SMP","LL","LL","LTW"
"P","AKU","G4","SMP","PDG","GRD","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G2","SMP","LL","BPN","LTW"
"L","AKU","G4","SMTA","LL","GRD","LLW_1"
"L","AKU","G2","SMTA","PDG","PDG","LTW"
"L","AKU","G5","SRJN","GRD","PSN","LTW"
"L","AKU","G2","SMTA","LL","BPN","LTW"
"L","AKU","G4","SMTA","LL","PS","LTW"
"L","AKU","G7","SRJN","PDG","LL","LLW_1"
"L","AKU","G7","SRJN","GRD","PS","LTW"
"L","AKU","G5","SRJN","PNS","GRD","LLW_1"
"P","AKU","G5","SRJN","PNS","PNS","LLW_1"
"P","AKU","G4","SMTA","LL","PSN","LTW"
"L","AKU","G4","SMTA","PSN","PSN","LTW"
"L","AKU","G4","SMTA","PS","PSN","LLW_1"
"P","AKU","G3","SRJN","LL","LL","LTW"
"P","AKU","G3","SMP","BPN","BPN","LTW"
"P","AKU","G5","SRJN","LL","GRD","LTW"
"P","AKU","G4","SMTA","LL","LL","LTW"
"P","AKU","G2","SMTA","PDG","PDG","LTW"
"L","AKU","G4","SRJN","GRD","PSN","LLW_1"
"L","AKU","G3","SRJN","GRD","LL","LLW_1"
"L","AKU","G4","SMTA","PSN","PSN","LLW_1"
"L","AKU","G4","SRJN","LL","PS","LLW_1"
"P","AKU","G2","SMP","LL","PDG","LTW"
"P","AKU","G4","SRJN","GRD","PSN","LTW"
"P","AKU","G4","SMTA","LL","LL","LTW"
"P","AKU","G5","SRJN","LL","PNS","LTW"
"L","AKU","G7","SMTA","LL","GRD","LTW"
"L","AKU","G4","SRJN","LL","PNS","LLW_1"
"L","AKU","G4","SRJN","LL","LL","LLW_1"
"L","AKU","G5","SRJN","GRD","LL","LTW"
"L","AKU","G2","SMTA","LL","PSN","LLW_1"
"P","AKU","G2","SMP","BPN","BPN","LLW_1"
"L","AKU","G4","SMTA","LL","PDG","LTW"
"P","AKU","G4","SRJN","LL","GRD","LTW"
"P","AKU","G4","SRJN","GRD","PDG","LTW"
"L","AKU","G5","LL","LL","PS","LLW_1"
"P","AKU","G3","SMTA","LL","LL","LTW"
"L","AKU","G7","SMTA","LL","PNS","LLW_1"
"P","AKU","G3","SMTA","LL","PS","LTW"
"L","AKU","G3","SMTA","LL","PDG","LTW"
"L","AKU","G7","SRJN","PNS","PDG","LTW"
"L","AKU","G4","SRJN","GRD","PSN","LTW"
"P","AKU","G5","SRJN","PDG","PS","LTW"
"L","AKU","G5","SRJN","GRD","PNS","LC"
"L","AKU","G7","SRJN","PS","LL","LTW"
"P","AKU","G4","SMTA","PNS","PS","LTW"
"L","AKU","G2","SMP","LL","PDG","LTW"
"P","AKU","G2","LL","LL","PS","LTW"
"L","AKU","G3","SRJN","GRD","PSN","LTW"
"P","AKU","G2","SMP","LL","LL","LLW_1"
"L","AKU","G3","SRJN","PDG","PDG","LTW"
"L","AKU","G5","SRJN","GRD","PNS","LLW_1"
"P","AKU","G4","SRJN","LL","PS","LTW"
"P","AKU","G6","SRJN","LL","PS","LTW"
"P","AKU","G2","SD","PDG","PDG","LTW"
"P","AKU","G4","SRJN","GRD","GRD","LLW_1"
"L","AKU","G4","SRJN","PS","PNS","LTW"
"P","AKU","G4","SRJN","PSN","PSN","LTW"
"L","AKU","G2","LL","LL","BPN","LLW_1"
"P","AKU","G3","SMP","LL","PS","LLW_1"
"L","AKU","G7","SMTA","LL","PS","LTW"
"P","AKU","G3","SMTA","LL","PS","LTW"
"L","AKU","G3","SRJN","LL","PSN","LTW"
"L","AKU","G4","SRJN","PDG","PDG","LLW_1"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G5","SMTA","LL","PS","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G5","SRJN","PNS","PNS","LLW_1"
"P","AKU","G4","SRJN","GRD","PS","LTW"
"L","AKU","G4","SMP","PDG","LL","LTW"
"P","AKU","G4","SRJN","LL","GRD","LTW"
"P","AKU","G1","SD","LL","LL","LTW"
"P","AKU","G3","SMTA","LL","PDG","LLW_1"
"P","AKU","G1","SMTA","LL","PDG","LTW"
"P","AKU","G3","SMTA","LL","PS","LTW"
"L","AKU","G1","SMTA","LL","LL","LLW_1"
"P","AKU","G5","SMTA","PNS","PS","LTW"
"P","AKU","G4","SRJN","GRD","LL","LTW"
"P","AKU","G2","SD","LL","BPN","LTW"
"P","AKU","G4","SMTA","PS","PDG","LTW"
"L","AKU","G5","SRJN","GRD","PS","LTW"
"L","EKO","G3","SMP","LL","PS","LLW_2"
"P","EKO","G2","SMTA","PDG","PDG","LLW_1"
"P","EKO","G2","SMP","LL","PS","LTW"
"P","EKO","G5","SRJN","LL","LL","LLW_1"
"P","EKO","G1","SMP","PDG","PDG","LTW"
"P","EKO","G3","SMTA","LL","PNS","LTW"
"P","EKO","G2","SMTA","LL","PDG","LTW"
"L","EKO","G4","SRJN","GRD","GRD","LLW_1"
"P","EKO","G3","LL","PDG","LL","LLW_1"
"P","EKO","G4","SMTA","LL","GRD","LTW"
"L","EKO","G3","SRJN","GRD","GRD","LTW"
"L","EKO","G3","SRJN","GRD","GRD","LLW_1"
"L","EKO","G3","SMTA","LL","PS","LLW_1"
"P","EKO","G3","SMTA","LL","PS","LTW"
"L","EKO","G1","SD","PDG","PDG","LLW_1"
"P","EKO","G3","SRJN","PNS","PDG","LLW_1"
"L","EKO","G4","SRJN","PNS","PDG","LLW_1"
"P","EKO","G4","SRJN","GRD","GRD","LTW"
"L","EKO","G1","SMTA","PDG","PDG","LLW_1"
"P","EKO","G1","SMTA","LL","PSN","LLW_1"
"L","EKO","G3","SMTA","LL","LL","LLW_1"
"L","EKO","G3","SMTA","BPN","PS","LTW"
"P","EKO","G2","SMTA","PDG","PDG","LLW_1"
"P","EKO","G3","SRJN","PS","GRD","LTW"
"P","EKO","G3","SMTA","PDG","PS","LTW"
"P","EKO","G3","SMTA","LL","GRD","LTW"
"L","EKO","G3","SMTA","LL","PNS","LC"
"L","EKO","G3","SMTA","LL","PS","LTW"
"L","EKO","G3","SRJN","GRD","BPN","LLW_1"
"P","EKO","G2","SD","LL","PS","LLW_1"
"L","EKO","G1","SD","LL","PDG","LLW_1"
"P","EKO","G2","SD","BPN","BPN","LC"
"P","EKO","G3","SMTA","LL","PNS","LTW"
"P","EKO","G3","SMTA","PDG","PSN","LLW_1"
"L","EKO","G3","SMTA","PSN","LL","LTW"
"P","EKO","G4","SMTA","LL","PSN","LLW_1"
"P","EKO","G4","SRJN","GRD","PDG","LLW_2"
"L","EKO","G3","SMTA","PDG","PDG","LTW"
"L","EKO","G3","SRJN","LL","GRD","LLW_1"
"P","EKO","G4","SRJN","PDG","PNS","LLW_1"
"L","EKO","G3","SRJN","GRD","PNS","LLW_1"
"L","EKO","G2","SD","BPN","PDG","LLW_1"
"L","EKO","G2","SD","PDG","PDG","LLW_1"
"P","EKO","G2","SD","PDG","BPN","LLW_1"
"L","EKO","G3","SRJN","GRD","GRD","LLW_1"
"P","EKO","G2","SMTA","PDG","PDG","LTW"
"P","EKO","G3","SMTA","PS","PDG","LTW"
"L","EKO","G2","LL","BPN","BPN","LLW_1"
"L","EKO","G2","SMP","PDG","LL","LLW_1"
"P","EKO","G4","SRJN","LL","PNS","LLW_1"
"P","EKO","G1","LL","BPN","BPN","LLW_1"
"P","EKO","G3","SMP","LL","PNS","LTW"
"P","EKO","G3","SRJN","GRD","GRD","LLW_1"
"P","EKO","G4","SRJN","GRD","PS","LLW_1"
"L","EKO","G3","SRJN","GRD","PDG","LLW_1"
"P","EKO","G2","SRJN","PNS","LL","LTW"
"P","EKO","G3","SMP","PDG","PDG","LTW"
"L","EKO","G2","SMTA","LL","PSN","LLW_2"
"L","EKO","G3","SD","PDG","GRD","LLW_1"
"P","EKO","G4","SRJN","PDG","GRD","LTW"
"L","EKO","G2","SMTA","PDG","LL","LLW_1"
"P","EKO","G3","SD","PDG","PSN","LLW_1"
"L","EKO","G2","SMTA","PS","PS","LLW_2"
"L","EKO","G3","SMTA","LL","PNS","LLW_1"
"L","EKO","G2","SMP","PDG","PDG","LTW"
"L","EKO","G4","SRJN","GRD","PNS","LLW_1"
"P","EKO","G3","SRJN","PNS","GRD","LLW_1"
"L","EKO","G3","SMTA","LL","PSN","LLW_1"
"L","EKO","G4","SRJN","GRD","PSN","LLW_1"
"L","EKO","G3","SD","LL","PDG","LLW_1"
"P","EKO","G4","SD","PDG","PDG","LTW"
"P","EKO","G2","SRJN","LL","PDG","LLW_1"
"P","EKO","G6","SRJN","LL","PNS","LLW_1"
"P","EKO","G2","SMTA","LL","PS","LTW"
"L","EKO","G3","SRJN","GRD","GRD","LLW_1"
"L","EKO","G5","SRJN","GRD","LL","LLW_1"
"L","EKO","G7","SMTA","PNS","PS","LLW_1"
"P","EKO","G3","SMP","PDG","PDG","LLW_1"
"L","EKO","G4","SRJN","PNS","GRD","LLW_2"
"P","EKO","G4","SRJN","PS","PNS","LTW"
"L","EKO","G4","SRJN","GRD","PNS","LLW_1"
"L","EKO","G2","SMTA","LL","PDG","LLW_1"
"L","EKO","G3","SMTA","PNS","PNS","LLW_1"
"P","EKO","G3","SMTA","LL","PDG","LTW"
"P","EKO","G3","SD","PDG","PDG","LTW"
"P","EKO","G3","SMTA","PDG","GRD","LLW_1"
"L","EKO","G3","SRJN","LL","PDG","LTW"
"L","EKO","G4","LL","LL","PS","LLW_2"
"L","EKO","G2","SMTA","LL","PDG","LLW_1"
"P","EKO","G7","SRJN","PDG","PDG","LLW_1"
"L","EKO","G5","SRJN","PDG","PS","LTW"
"L","EKO","G4","SRJN","PNS","PNS","LLW_1"
"L","EKO","G5","SRJN","PNS","PDG","LTW"
"P","EKO","G4","SMTA","LL","LL","LTW"
"L","EKO","G4","SRJN","PNS","PS","LTW"
"L","EKO","G2","SMTA","LL","PDG","LTW"
"P","EKO","G4","SMTA","LL","PS","LLW_1"
"P","EKO","G4","SRJN","GRD","GRD","LLW_1"
"P","EKO","G2","SRJN","PNS","PNS","LTW"
"P","EKO","G2","SMP","LL","PSN","LTW"
"L","EKO","G2","SMTA","PDG","PDG","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","LTW"
"P","EKO","G4","SMTA","LL","PNS","LTW"
"P","EKO","G3","SRJN","GRD","GRD","LTW"
"L","EKO","G3","SD","PDG","PDG","LTW"
"P","EKO","G3","SRJN","LL","PS","LTW"
"L","EKO","G2","SRJN","GRD","PDG","LTW"
"P","EKO","G3","SRJN","PS","PDG","LTW"
"L","EKO","G4","SRJN","GRD","PDG","LTW"
"L","EKO","G3","SRJN","GRD","GRD","LLW_1"
"L","EKO","G4","SMTA","LL","PS","LLW_1"
