,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
251,P,AKU,G4,SRJN,GRD,PDG,LTW
252,L,AKU,G5,SRJN,PS,LL,LLW
253,L,AKU,G5,SRJN,GRD,GRD,LTW
254,P,AKU,G1,SMP,LL,BPN,LTW
255,L,AKU,G6,SRJN,LL,PDG,LLW
256,L,AKU,G3,SMP,PDG,PSN,LLW
257,P,AKU,G3,SMTA,LL,PS,LLW
258,P,AKU,G4,SRJN,LL,PS,LC
259,L,AKU,G4,SRJN,GRD,GRD,LLW
260,P,AKU,G3,SRJN,PSN,PSN,LTW
261,P,AKU,G4,SMP,PDG,PDG,LTW
262,P,AKU,G4,SMP,LL,LL,LTW
263,P,AKU,G4,SMP,PDG,GRD,LTW
264,P,AKU,G4,SRJN,GRD,PNS,LTW
265,P,AKU,G2,SMP,LL,BPN,LTW
266,L,AKU,G4,SMTA,LL,GRD,LLW
267,L,AKU,G2,SMTA,PDG,PDG,LTW
268,L,AKU,G5,SRJN,GRD,PSN,LTW
269,L,AKU,G2,SMTA,LL,BPN,LTW
270,L,AKU,G1,SMTA,LL,PSN,LTW
271,L,AKU,G4,SMTA,LL,PS,LTW
272,L,AKU,G7,SRJN,PDG,LL,LLW
273,L,AKU,G7,SRJN,GRD,PS,LTW
274,L,AKU,G5,SRJN,PNS,GRD,LLW
275,P,AKU,G5,SRJN,PNS,PNS,LLW
276,P,AKU,G7,SRJN,PS,PDG,LTW
277,L,AKU,G4,SMTA,PSN,PSN,LTW
278,L,AKU,G4,SMTA,PS,PSN,LLW
279,P,AKU,G2,SD,BPN,BPN,LTW
280,P,AKU,G6,LL,PNS,LL,LTW
281,P,AKU,G3,SRJN,LL,LL,LTW
282,P,AKU,G3,SMP,BPN,BPN,LTW
283,P,AKU,G5,SRJN,LL,GRD,LTW
284,P,AKU,G4,SMTA,LL,LL,LTW
285,P,AKU,G2,SMTA,PDG,PDG,LTW
286,P,AKU,G6,SRJN,LL,PNS,LTW
287,P,AKU,G4,SRJN,PS,ABRI,LTW
288,L,AKU,G3,SRJN,LL,PS,LTW
289,L,AKU,G3,SRJN,GRD,LL,LLW
290,L,AKU,G4,SRJN,LL,PS,LLW
291,P,AKU,G4,SMTA,PNS,PDG,LTW
292,L,AKU,G7,SRJN,PS,PS,LLW
293,P,AKU,G2,SMP,LL,PDG,LTW
294,P,AKU,G4,SRJN,GRD,PSN,LTW
295,P,AKU,G4,SMTA,LL,ABRI,LTW
296,P,AKU,G5,SRJN,LL,PNS,LTW
297,P,AKU,G2,SMTA,LL,PS,LTW
298,L,AKU,G4,SRJN,LL,PNS,LLW
299,L,AKU,G4,SRJN,LL,LL,LLW
300,L,AKU,G5,SRJN,PS,PS,LTW
301,P,AKU,G4,SRJN,GRD,LL,LTW
302,L,AKU,G5,SRJN,GRD,ABRI,LTW
303,P,AKU,G3,SMTA,PDG,PS,LTW
304,L,AKU,G2,SMTA,LL,PSN,LLW
305,P,AKU,G4,SRJN,GRD,PSN,LLW
