@relation data_uji_mipa_sosial_ipk
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","HUK","G3","SRJN","GRD","GRD",2.1,2.0,"IPK_SM"
"P","HUK","G4","SMTA","PDG","LL",3.0,2.95,"IPK_SM"
"P","HUK","G4","SRJN","PS","PNS",2.0,2.94,"IPK_SM"
"P","EKO","G7","SRJN","PDG","PDG",3.29,3.33,"IPK_SM"
"P","EKO","G4","SRJN","GRD","GRD",3.5,3.17,"IPK_SM"
"P","AKU","G3","SRJN","LL","LL",3.09,3.46,"IPK_SM"
"P","KOM","G7","SMTA","LL","PNS",3.27,3.64,"IPK_SM"
"P","AKU","G2","SMTA","PDG","PDG",2.95,3.29,"IPK_SM"
"L","KOM","G1","SRJN","PDG","BPN",3.23,2.86,"IPK_SM"
"L","AKU","G2","LL","LL","PDG",3.33,3.0,"IPK_SM"
"P","KOM","G5","SMP","PDG","PDG",3.59,3.41,"IPK_SM"
"L","HUK","G2","SMTA","LL","PDG",2.4,2.6,"IPK_SM"
"L","KOM","G4","SRJN","GRD","GRD",2.82,3.1,"IPK_SM"
"L","KOM","G2","SMTA","GRD","BPN",3.18,3.18,"IPK_SM"
"L","HUK","G4","SRJN","LL","PNS",1.0,2.5,"IPK_SM"
"L","AKU","G4","SMTA","LL","PDG",2.88,2.76,"IPK_SM"
"L","AKU","G5","SMTA","PDG","PDG",3.38,3.29,"IPK_SM"
"L","HUK","G4","SD","BPN","PNS",2.9,2.6,"IPK_SM"
"L","HUK","G4","SRJN","LL","PS",2.7,2.6,"IPK_SM"
"L","HUK","G4","SMTA","LL","PSN",2.8,2.7,"IPK_SM"
"L","HUK","G4","SRJN","GRD","PS",2.2,2.11,"IPK_SM"
"L","AKU","G7","SRJN","PNS","PDG",3.23,3.09,"IPK_SM"
"L","HUK","G4","SRJN","PDG","PDG",2.9,2.75,"IPK_SM"
"L","KOM","G2","SMP","LL","PNS",3.14,3.0,"IPK_SM"
"P","HUK","G3","SMTA","PNS","PNS",3.0,3.14,"IPK_SM"
"P","HUK","G3","SRJN","GRD","GRD",2.8,3.0,"IPK_SM"
"P","EKO","G4","SRJN","GRD","GRD",2.73,3.58,"IPK_SM"
"P","HUK","G3","SRJN","PS","PS",3.15,3.08,"IPK_SM"
"P","HUK","G7","SRJN","PDG","PDG",2.8,2.75,"IPK_SM"
"P","HUK","G1","SMTA","PNS","PNS",1.0,1.25,"IPK_SM"
"L","EKO","G5","SRJN","LL","PNS",3.0,2.21,"IPK_SM"
"P","KOM","G4","SMTA","LL","LL",3.68,3.32,"IPK_SM"
"P","KOM","G3","SMTA","LL","PNS",3.32,3.45,"IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD",2.62,1.55,"IPK_SM"
"L","EKO","G4","SRJN","PSN","PSN",3.18,3.21,"IPK_SM"
"L","EKO","G2","SMP","LL","BPN",2.79,3.24,"IPK_SM"
"P","EKO","G3","SRJN","LL","PNS",3.08,2.83,"IPK_SM"
"L","HUK","G7","SRJN","GRD","GRD",2.6,2.2,"IPK_SM"
