,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
241,P,FISIKA,G3,SMTA,PDG,PNS,IPK_SM
242,P,FISIKA,G3,SMTA,LL,PS,IPK_SM
243,P,FISIKA,G2,SD,BPN,PDG,IPK_SM
244,L,FISIKA,G1,SD,LL,BPN,IPK_M
245,P,FISIKA,G2,SD,BPN,PDG,IPK_CUM
246,P,FISIKA,G2,SMP,LL,PDG,IPK_SM
247,L,FISIKA,G2,SMP,LL,BPN,IPK_SM
248,P,FISIKA,G4,SRJN,PNS,PSN,IPK_SM
249,L,FISIKA,G2,LL,LL,BPN,IPK_SM
250,P,FISIKA,G2,SRJN,LL,PS,IPK_CUM
251,P,FISIKA,G3,SMTA,PNS,PS,IPK_SM
252,L,FISIKA,G2,SMTA,PDG,PDG,IPK_SM
253,P,FISIKA,G5,SMTA,PS,PDG,IPK_SM
254,P,FISIKA,G3,SRJN,GRD,BPN,IPK_CUM
255,L,FISIKA,G2,SD,LL,BPN,IPK_SM
256,P,FISIKA,G3,SMTA,PDG,PDG,IPK_M
257,L,FISIKA,G4,SRJN,PDG,PDG,IPK_SM
258,P,FISIKA,G4,SMTA,LL,GRD,IPK_SM
259,P,FISIKA,G3,SMTA,PS,GRD,IPK_SM
260,P,FISIKA,G4,SMTA,BPN,GRD,IPK_CUM
261,P,FISIKA,G4,SMTA,PNS,ABRI,IPK_SM
262,P,FISIKA,G5,SRJN,PNS,GRD,IPK_SM
263,P,FISIKA,G7,SRJN,GRD,PS,IPK_SM
264,L,FISIKA,G4,SMTA,LL,GRD,IPK_SM
265,P,FISIKA,G2,SMTA,LL,BPN,IPK_SM
266,P,FISIKA,G2,SMTA,PS,PSN,IPK_SM
267,L,FISIKA,G3,SMP,PDG,PS,IPK_SM
268,P,FISIKA,G2,SMTA,LL,PDG,IPK_SM
269,P,FISIKA,G4,SRJN,GRD,PNS,IPK_CUM
270,L,FISIKA,G6,SMTA,LL,PNS,IPK_SM
271,L,FISIKA,G4,SD,BPN,PSN,IPK_SM
272,P,FISIKA,G4,SMTA,PDG,PNS,IPK_SM
273,P,FISIKA,G2,SRJN,GRD,GRD,IPK_SM
274,L,FISIKA,G4,SRJN,GRD,PDG,IPK_CUM
275,L,FISIKA,G3,SRJN,PDG,PDG,IPK_SM
276,P,FISIKA,G4,SMTA,LL,GRD,IPK_SM
277,P,FISIKA,G3,SMTA,LL,LL,IPK_SM
278,P,FISIKA,G4,SMTA,PDG,GRD,IPK_SM
279,P,FISIKA,G2,SD,BPN,BPN,IPK_SM
280,P,FISIKA,G4,SMTA,LL,BPN,IPK_SM
281,P,FISIKA,G2,SD,BPN,BPN,IPK_CUM
282,P,FISIKA,G3,SD,PDG,PDG,IPK_SM
283,P,FISIKA,G3,SMTA,LL,PS,IPK_SM
284,P,FISIKA,G2,SMP,LL,BPN,IPK_CUM
285,L,FISIKA,G3,SD,LL,BPN,IPK_CUM
286,L,MTK,G3,SD,LL,GRD,IPK_KM
287,P,MTK,G2,SMP,LL,PNS,IPK_SM
