@relation data_sosial_ipk_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","EKO","G5","SRJN","PNS","PDG","IPK_SM"
"P","EKO","G2","SMTA","PS","LL","IPK_SM"
"P","EKO","G4","SMTA","PDG","PDG","IPK_SM"
"L","EKO","G4","SRJN","PNS","PS","IPK_SM"
"L","EKO","G2","SMTA","LL","PDG","IPK_SM"
"P","EKO","G4","SRJN","PNS","PNS","IPK_CUM"
"P","EKO","G4","SMTA","LL","PS","IPK_CUM"
"P","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G2","SRJN","PNS","PNS","IPK_SM"
"P","EKO","G2","SMP","LL","PSN","IPK_SM"
"P","EKO","G4","SMTA","LL","PNS","IPK_CUM"
"L","EKO","G3","SD","PDG","PDG","IPK_SM"
"L","EKO","G3","SMTA","LL","PNS","IPK_SM"
"L","EKO","G4","SRJN","GRD","PDG","IPK_CUM"
"L","EKO","G2","SMP","BPN","BPN","IPK_CUM"
"L","EKO","G3","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G3","SMTA","LL","PSN","IPK_SM"
"L","EKO","G2","SMP","LL","BPN","IPK_SM"
"L","EKO","G4","SRJN","LL","PNS","IPK_SM"
"L","EKO","G3","SMTA","PNS","PNS","IPK_CUM"
"P","EKO","G3","SRJN","PNS","GRD","IPK_CUM"
"P","EKO","G2","SMP","LL","PDG","IPK_CUM"
"P","EKO","G3","SRJN","LL","PS","IPK_CUM"
"P","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G4","SD","PDG","PDG","IPK_SM"
"L","EKO","G3","SMTA","LL","PSN","IPK_SM"
"P","EKO","G2","SD","BPN","BPN","IPK_SM"
"P","EKO","G4","SRJN","LL","PDG","IPK_CUM"
"L","EKO","G4","SRJN","GRD","PSN","IPK_CUM"
"L","EKO","G4","SMTA","PDG","PNS","IPK_SM"
"P","EKO","G5","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G4","SMTA","LL","PNS","IPK_SM"
"L","EKO","G5","SRJN","PDG","PNS","IPK_SM"
"L","EKO","G4","SD","PDG","PDG","IPK_SM"
"P","EKO","G5","SMTA","LL","PNS","IPK_CUM"
"L","EKO","G4","SMTA","LL","GRD","IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G3","SMTA","LL","PSN","IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G3","SMTA","LL","PSN","IPK_SM"
"L","EKO","G2","SMTA","LL","PDG","IPK_SM"
"P","EKO","G3","SMTA","PDG","PDG","IPK_SM"
"L","EKO","G4","SMP","PDG","PNS","IPK_SM"
"P","EKO","G1","SMTA","PSN","PSN","IPK_SM"
"P","EKO","G2","SRJN","LL","PS","IPK_SM"
"P","EKO","G4","SD","PDG","PDG","IPK_CUM"
"L","EKO","G5","SRJN","LL","PNS","IPK_SM"
"L","EKO","G1","SD","BPN","BPN","IPK_CUM"
"P","EKO","G3","SRJN","GRD","PSN","IPK_SM"
"P","EKO","G2","SD","PDG","PDG","IPK_SM"
"P","EKO","G3","SMP","LL","PSN","IPK_CUM"
"P","EKO","G2","SD","LL","PNS","IPK_SM"
"L","EKO","G3","SD","LL","PDG","IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G5","SRJN","GRD","PNS","IPK_SM"
"P","EKO","G2","SRJN","LL","PS","IPK_SM"
"L","EKO","G3","SMTA","LL","LL","IPK_SM"
"P","EKO","G2","SMP","BPN","BPN","IPK_SM"
"P","EKO","G4","SRJN","LL","GRD","IPK_KM"
"P","EKO","G4","SMTA","GRD","LL","IPK_CUM"
"L","EKO","G7","SRJN","PNS","PNS","IPK_SM"
"L","EKO","G3","SMTA","LL","BPN","IPK_SM"
"L","EKO","G3","SRJN","PDG","PDG","IPK_CUM"
"L","EKO","G2","SMTA","LL","PDG","IPK_SM"
"P","EKO","G5","SRJN","GRD","PDG","IPK_SM"
"L","EKO","G6","SMP","BPN","BPN","IPK_SM"
"P","EKO","G3","SMTA","PSN","PSN","IPK_SM"
"L","EKO","G3","SMTA","LL","PSN","IPK_SM"
"P","EKO","G3","SMTA","PSN","LL","IPK_SM"
"P","EKO","G2","SMTA","BPN","PS","IPK_CUM"
"P","EKO","G3","SMTA","LL","PNS","IPK_CUM"
"P","EKO","G4","SMTA","PNS","PNS","IPK_SM"
"P","EKO","G3","SMTA","LL","PS","IPK_CUM"
"P","EKO","G2","SMTA","LL","PSN","IPK_CUM"
"L","EKO","G3","SRJN","PNS","PSN","IPK_SM"
"L","EKO","G7","SRJN","LL","PS","IPK_SM"
"L","EKO","G3","SRJN","GRD","PS","IPK_SM"
"L","EKO","G3","SRJN","LL","PSN","IPK_SM"
"L","EKO","G3","SMTA","LL","PDG","IPK_SM"
"P","EKO","G3","SMTA","LL","PS","IPK_SM"
"P","EKO","G2","SRJN","LL","LL","IPK_CUM"
"P","EKO","G2","SMTA","LL","PSN","IPK_SM"
"P","EKO","G3","SMTA","LL","PDG","IPK_SM"
"L","EKO","G1","SMP","LL","PSN","IPK_CUM"
"L","EKO","G2","SMTA","LL","PDG","IPK_CUM"
"L","EKO","G3","SRJN","LL","PS","IPK_SM"
"P","EKO","G4","SRJN","GRD","PS","IPK_CUM"
"P","EKO","G5","SRJN","PDG","PDG","IPK_CUM"
"L","EKO","G5","SRJN","PNS","PNS","IPK_SM"
"P","EKO","G4","SRJN","LL","PS","IPK_CUM"
"P","EKO","G4","SRJN","GRD","PNS","IPK_CUM"
"P","EKO","G4","SRJN","PNS","PS","IPK_CUM"
"L","EKO","G4","SRJN","GRD","PSN","IPK_CUM"
"P","EKO","G3","SMTA","PDG","PDG","IPK_SM"
"L","EKO","G4","SRJN","LL","PDG","IPK_SM"
"P","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G5","SRJN","GRD","LL","IPK_SM"
"L","EKO","G4","SMTA","LL","PS","IPK_SM"
"L","EKO","G4","SMTA","PS","PS","IPK_SM"
"L","EKO","G4","SRJN","GRD","PSN","IPK_CUM"
"P","EKO","G7","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G3","SD","PDG","PDG","IPK_SM"
"L","EKO","G4","SRJN","GRD","PDG","IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G2","SD","LL","PDG","IPK_SM"
"P","EKO","G3","SRJN","LL","PS","IPK_SM"
"L","EKO","G2","SD","LL","PDG","IPK_CUM"
"P","EKO","G3","SRJN","GRD","PSN","IPK_CUM"
"P","EKO","G4","SRJN","LL","PDG","IPK_SM"
"L","EKO","G3","SRJN","GRD","PSN","IPK_CUM"
"L","EKO","G3","SRJN","GRD","LL","IPK_CUM"
"P","EKO","G3","SMTA","PNS","PNS","IPK_CUM"
"P","EKO","G4","SRJN","LL","PS","IPK_CUM"
"L","EKO","G4","SRJN","LL","PNS","IPK_SM"
"L","EKO","G2","SRJN","PDG","LL","IPK_CUM"
"L","EKO","G4","SRJN","GRD","PNS","IPK_SM"
"P","EKO","G4","SMTA","LL","GRD","IPK_SM"
"P","EKO","G3","SMTA","LL","PSN","IPK_SM"
"P","EKO","G4","SRJN","GRD","PNS","IPK_CUM"
"P","EKO","G3","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G3","SMP","PS","PS","IPK_CUM"
"P","EKO","G3","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G5","SRJN","GRD","PS","IPK_SM"
"L","EKO","G4","SMTA","LL","PNS","IPK_SM"
"L","EKO","G4","SMTA","LL","GRD","IPK_SM"
"P","EKO","G4","SMTA","PS","PDG","IPK_CUM"
"L","EKO","G7","SMTA","PS","PS","IPK_SM"
"L","EKO","G7","SRJN","PDG","LL","IPK_SM"
"P","EKO","G6","SRJN","LL","PS","IPK_SM"
"L","EKO","G5","SMTA","LL","LL","IPK_CUM"
"P","EKO","G3","SMTA","LL","PS","IPK_CUM"
"P","EKO","G3","SMTA","LL","PSN","IPK_CUM"
"P","EKO","G4","SRJN","GRD","PSN","IPK_CUM"
"L","EKO","G4","SMTA","PNS","PNS","IPK_SM"
"P","EKO","G3","SMTA","PDG","PDG","IPK_CUM"
"P","EKO","G3","SMTA","LL","PS","IPK_SM"
"L","EKO","G4","SMTA","LL","PNS","IPK_SM"
"L","EKO","G2","SD","BPN","BPN","IPK_SM"
"L","EKO","G2","SMP","LL","PSN","IPK_CUM"
"L","EKO","G3","SMTA","PDG","PDG","IPK_SM"
"L","EKO","G4","SRJN","LL","PNS","IPK_SM"
"L","EKO","G4","SMP","LL","PS","IPK_M"
"P","EKO","G3","SMTA","PDG","LL","IPK_CUM"
"L","EKO","G3","SMTA","PS","GRD","IPK_SM"
"P","EKO","G4","SMTA","PS","PS","IPK_SM"
"L","EKO","G4","SMTA","PDG","PS","IPK_CUM"
"L","EKO","G4","SRJN","LL","GRD","IPK_SM"
"L","EKO","G4","SMTA","LL","PSN","IPK_SM"
"P","EKO","G3","SMTA","PDG","PNS","IPK_CUM"
"P","EKO","G3","LL","LL","PDG","IPK_CUM"
"P","EKO","G3","SD","LL","BPN","IPK_CUM"
"L","EKO","G7","LL","LL","PDG","IPK_SM"
"P","EKO","G4","SRJN","LL","PS","IPK_SM"
"L","EKO","G4","SMTA","PDG","GRD","IPK_SM"
"L","EKO","G2","SMTA","LL","PS","IPK_CUM"
"P","EKO","G4","SMTA","LL","PNS","IPK_CUM"
"L","EKO","G4","SRJN","LL","GRD","IPK_SM"
"P","EKO","G2","SMTA","LL","PS","IPK_SM"
"P","EKO","G5","SRJN","GRD","PSN","IPK_CUM"
"P","EKO","G1","SD","LL","PSN","IPK_CUM"
"L","EKO","G2","SRJN","LL","PDG","IPK_SM"
"L","EKO","G6","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G7","SRJN","LL","PS","IPK_SM"
"P","EKO","G4","SMP","LL","PS","IPK_CUM"
"L","EKO","G4","SMTA","LL","LL","IPK_SM"
"L","EKO","G3","SRJN","PS","PDG","IPK_SM"
"L","EKO","G4","SRJN","PSN","PSN","IPK_SM"
"P","EKO","G4","SRJN","LL","LL","IPK_CUM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G4","SMTA","PDG","GRD","IPK_SM"
"L","EKO","G4","SRJN","GRD","PS","IPK_SM"
"P","EKO","G4","SRJN","PNS","PSN","IPK_SM"
"L","EKO","G3","SMP","PDG","PDG","IPK_SM"
"P","EKO","G5","SRJN","GRD","GRD","IPK_CUM"
"L","EKO","G3","SMTA","LL","PNS","IPK_SM"
"L","EKO","G6","SRJN","GRD","PS","IPK_SM"
"L","EKO","G2","SMTA","PS","PS","IPK_CUM"
"P","EKO","G6","SRJN","PNS","PS","IPK_SM"
"L","EKO","G2","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G3","SMTA","LL","PDG","IPK_SM"
"L","EKO","G7","SRJN","GRD","PS","IPK_SM"
"P","EKO","G3","SMTA","LL","PS","IPK_SM"
"P","EKO","G4","SMTA","LL","PNS","IPK_SM"
"P","EKO","G4","SMTA","LL","GRD","IPK_CUM"
"L","EKO","G4","SRJN","PNS","PNS","IPK_SM"
"P","EKO","G4","SRJN","GRD","PSN","IPK_CUM"
"P","EKO","G2","SMP","LL","BPN","IPK_SM"
"P","EKO","G5","SMTA","PDG","PDG","IPK_SM"
"L","EKO","G3","SRJN","GRD","PSN","IPK_SM"
"L","EKO","G4","SMTA","PNS","PNS","IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G2","SRJN","PDG","PDG","IPK_SM"
"P","EKO","G7","SRJN","PS","GRD","IPK_CUM"
"P","EKO","G5","SMTA","LL","PNS","IPK_CUM"
"P","EKO","G3","SMTA","GRD","PDG","IPK_CUM"
"P","EKO","G7","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G4","SRJN","GRD","PNS","IPK_SM"
"P","EKO","G4","SRJN","LL","LL","IPK_CUM"
"P","EKO","G2","SMTA","LL","PSN","IPK_CUM"
"P","EKO","G4","SMTA","LL","PS","IPK_CUM"
"P","EKO","G6","SRJN","LL","PS","IPK_CUM"
"P","EKO","G5","SMTA","LL","LL","IPK_CUM"
"P","EKO","G3","SRJN","PNS","BPN","IPK_CUM"
"P","EKO","G3","SRJN","LL","PS","IPK_CUM"
"L","EKO","G2","SD","LL","PDG","IPK_SM"
"P","EKO","G2","SMTA","PDG","PSN","IPK_SM"
"P","EKO","G4","SMTA","LL","PS","IPK_CUM"
"P","EKO","G7","SMTA","LL","PNS","IPK_CUM"
"P","EKO","G1","LL","BPN","PDG","IPK_CUM"
"L","EKO","G2","SRJN","PS","PS","IPK_CUM"
"L","EKO","G4","SMTA","LL","PNS","IPK_CUM"
"P","EKO","G2","SD","PDG","BPN","IPK_CUM"
"L","EKO","G4","SD","PDG","PDG","IPK_SM"
"L","EKO","G4","SMTA","LL","PDG","IPK_CUM"
"L","EKO","G3","SMP","PDG","PDG","IPK_SM"
"L","EKO","G3","SRJN","PDG","PS","IPK_SM"
"P","EKO","G4","SRJN","LL","GRD","IPK_CUM"
"L","EKO","G2","SMTA","PDG","PDG","IPK_SM"
"P","EKO","G3","SRJN","PS","PS","IPK_CUM"
"P","EKO","G2","SMP","BPN","BPN","IPK_CUM"
"P","EKO","G4","SMTA","PDG","PNS","IPK_CUM"
"P","EKO","G3","SMTA","LL","PS","IPK_SM"
"P","EKO","G2","LL","LL","BPN","IPK_CUM"
"P","EKO","G7","SRJN","LL","PDG","IPK_CUM"
"P","EKO","G2","SMTA","LL","LL","IPK_SM"
"P","EKO","G3","SMTA","PDG","PDG","IPK_CUM"
"P","EKO","G3","SD","PDG","PDG","IPK_CUM"
"L","EKO","G3","SRJN","LL","PSN","IPK_SM"
"L","EKO","G4","SRJN","PNS","PNS","IPK_CUM"
"P","EKO","G4","SRJN","GRD","PNS","IPK_CUM"
"P","EKO","G3","SMTA","LL","PS","IPK_CUM"
"P","EKO","G2","SD","BPN","BPN","IPK_CUM"
"P","EKO","G2","SD","LL","PS","IPK_CUM"
"P","EKO","G2","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G4","SMTA","PDG","PDG","IPK_SM"
"P","EKO","G6","SRJN","GRD","PS","IPK_SM"
"P","EKO","G4","SRJN","GRD","LL","IPK_SM"
"L","EKO","G3","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G2","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G4","SRJN","PNS","PNS","IPK_SM"
"P","EKO","G3","SD","LL","PDG","IPK_CUM"
"P","EKO","G4","SMTA","PDG","PSN","IPK_CUM"
"P","EKO","G2","LL","PDG","BPN","IPK_CUM"
"P","EKO","G4","SRJN","PDG","PNS","IPK_SM"
"P","EKO","G3","SMP","LL","PS","IPK_SM"
"P","EKO","G2","LL","PDG","BPN","IPK_SM"
"L","EKO","G7","SMTA","LL","PS","IPK_SM"
"P","EKO","G5","LL","PSN","GRD","IPK_CUM"
"L","EKO","G4","SRJN","GRD","PDG","IPK_SM"
"P","EKO","G4","SMTA","LL","PSN","IPK_CUM"
"P","EKO","G2","SRJN","LL","BPN","IPK_CUM"
"P","EKO","G4","SRJN","PNS","PS","IPK_SM"
"P","EKO","G4","LL","PNS","BPN","IPK_CUM"
"P","EKO","G4","SMTA","LL","PNS","IPK_SM"
"P","KOM","G1","SMTA","LL","PSN","IPK_M"
"P","KOM","G4","SMP","PDG","PDG","IPK_M"
"P","KOM","G5","SMTA","LL","PS","IPK_M"
"P","KOM","G1","SMTA","PDG","PDG","IPK_KM"
"P","KOM","G3","SMTA","PDG","PSN","IPK_SM"
"P","KOM","G4","SRJN","GRD","LL","IPK_SM"
"P","KOM","G1","SRJN","PDG","PDG","IPK_M"
"P","KOM","G3","SRJN","LL","PDG","IPK_SM"
"L","KOM","G3","SMTA","PS","LL","IPK_SM"
"P","KOM","G3","SRJN","LL","GRD","IPK_KM"
"P","KOM","G3","SMTA","PDG","LL","IPK_KM"
"P","KOM","G2","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G4","SRJN","GRD","PS","IPK_KM"
"P","KOM","G4","SRJN","LL","LL","IPK_SM"
"P","KOM","G3","SMTA","PNS","PNS","IPK_SM"
"P","KOM","G3","SMP","GRD","PNS","IPK_SM"
"L","KOM","G4","SRJN","LL","GRD","IPK_SM"
"P","KOM","G3","SRJN","GRD","BPN","IPK_SM"
"L","KOM","G2","SD","LL","PDG","IPK_M"
"P","KOM","G4","SRJN","PNS","PNS","IPK_CUM"
"P","KOM","G2","SMP","LL","PDG","IPK_SM"
"L","KOM","G3","SMP","LL","PDG","IPK_SM"
"L","KOM","G2","SD","LL","BPN","IPK_SM"
"L","KOM","G3","SRJN","GRD","PDG","IPK_M"
"L","KOM","G2","LL","PDG","PDG","IPK_SM"
"L","KOM","G3","SRJN","GRD","PNS","IPK_SM"
"P","KOM","G3","SMTA","PNS","GRD","IPK_SM"
"L","KOM","G1","SMTA","LL","PS","IPK_M"
"P","KOM","G3","SMTA","PDG","PDG","IPK_SM"
"P","KOM","G2","SMTA","LL","PDG","IPK_SM"
"P","KOM","G2","SMTA","LL","PSN","IPK_SM"
"P","KOM","G3","SMTA","LL","PSN","IPK_SM"
"P","KOM","G3","SMP","PDG","PDG","IPK_CUM"
"L","KOM","G4","SRJN","LL","GRD","IPK_SM"
"L","KOM","G1","SRJN","LL","PS","IPK_M"
"P","KOM","G3","SRJN","GRD","GRD","IPK_CUM"
"P","KOM","G4","SMTA","PDG","LL","IPK_SM"
"L","KOM","G3","SRJN","GRD","PS","IPK_KM"
"P","KOM","G1","SMTA","BPN","BPN","IPK_CUM"
"P","KOM","G2","SMTA","PDG","PDG","IPK_SM"
"P","KOM","G2","SMTA","LL","PS","IPK_SM"
"L","KOM","G3","SMTA","LL","LL","IPK_SM"
"P","KOM","G3","SRJN","PNS","GRD","IPK_SM"
"P","KOM","G3","SMTA","LL","PS","IPK_SM"
"L","KOM","G2","SRJN","LL","PS","IPK_SM"
"P","KOM","G3","SMP","PDG","PDG","IPK_SM"
"P","KOM","G4","SRJN","LL","PS","IPK_SM"
"P","KOM","G4","SRJN","PDG","PNS","IPK_SM"
"P","KOM","G2","SMTA","PDG","LL","IPK_SM"
"P","KOM","G3","SRJN","LL","GRD","IPK_SM"
"P","KOM","G2","LL","LL","PS","IPK_SM"
"P","KOM","G3","SMTA","LL","PDG","IPK_CUM"
"L","KOM","G1","SRJN","PDG","BPN","IPK_SM"
"L","KOM","G4","SD","PDG","PNS","IPK_SM"
"P","KOM","G2","SD","LL","BPN","IPK_CUM"
"P","KOM","G3","SMP","PDG","PDG","IPK_SM"
"P","KOM","G2","SMP","LL","PS","IPK_SM"
"P","KOM","G3","SMTA","LL","PNS","IPK_SM"
"P","KOM","G3","SMTA","LL","BPN","IPK_KM"
"P","KOM","G3","SMTA","PDG","PDG","IPK_SM"
"L","KOM","G7","SRJN","LL","PDG","IPK_M"
"P","KOM","G4","SMTA","PDG","PDG","IPK_SM"
"L","KOM","G5","SMTA","LL","PS","IPK_M"
"P","KOM","G4","SRJN","PNS","LL","IPK_M"
"P","KOM","G4","SMTA","LL","PSN","IPK_KM"
"P","KOM","G3","SRJN","LL","PS","IPK_SM"
"P","KOM","G5","SRJN","PNS","PNS","IPK_SM"
"L","KOM","G3","SRJN","PS","PSN","IPK_M"
"P","KOM","G4","SMTA","LL","PNS","IPK_SM"
"P","KOM","G3","SRJN","LL","PS","IPK_SM"
"L","KOM","G5","SMTA","LL","PNS","IPK_SM"
"P","KOM","G3","SMTA","LL","LL","IPK_KM"
"L","KOM","G4","SRJN","LL","PS","IPK_M"
"P","KOM","G4","SRJN","GRD","PNS","IPK_CUM"
"P","KOM","G4","SRJN","PNS","PDG","IPK_SM"
"P","KOM","G4","SMTA","LL","PS","IPK_KM"
"P","KOM","G7","SRJN","PNS","PNS","IPK_SM"
"L","KOM","G4","SMTA","PDG","PNS","IPK_KM"
"P","KOM","G3","SRJN","PNS","PNS","IPK_SM"
"P","KOM","G5","SRJN","LL","PSN","IPK_SM"
"P","KOM","G3","SMTA","LL","PNS","IPK_SM"
"P","KOM","G4","SRJN","PNS","GRD","IPK_SM"
"P","KOM","G5","SRJN","GRD","PDG","IPK_M"
"P","KOM","G2","SMTA","PDG","PDG","IPK_SM"
"L","KOM","G2","SMTA","GRD","PDG","IPK_M"
"P","KOM","G3","SMTA","LL","PSN","IPK_SM"
"L","KOM","G3","SMTA","LL","PNS","IPK_SM"
"L","KOM","G5","SRJN","GRD","PNS","IPK_KM"
"L","KOM","G3","SMTA","PDG","PDG","IPK_KM"
"L","KOM","G4","SMTA","PNS","PNS","IPK_SM"
"L","KOM","G2","SRJN","GRD","PS","IPK_KM"
"L","KOM","G3","SMTA","PDG","PDG","IPK_KM"
"P","KOM","G2","SRJN","PDG","PDG","IPK_KM"
"L","KOM","G4","SMTA","PDG","PNS","IPK_KM"
"P","KOM","G4","SMTA","PNS","PS","IPK_KM"
"P","KOM","G3","SD","LL","PDG","IPK_SM"
"P","KOM","G3","SMP","LL","PSN","IPK_KM"
"P","KOM","G4","SRJN","PNS","PNS","IPK_SM"
"L","KOM","G2","SMTA","GRD","BPN","IPK_SM"
"P","KOM","G3","SMP","PDG","PDG","IPK_KM"
"L","KOM","G2","SD","LL","LL","IPK_KM"
"P","KOM","G5","SRJN","GRD","PDG","IPK_SM"
"P","KOM","G3","SRJN","PNS","GRD","IPK_SM"
"L","KOM","G3","SMTA","LL","PNS","IPK_KM"
"L","KOM","G3","SMTA","LL","PSN","IPK_SM"
"L","KOM","G2","SMP","LL","PNS","IPK_SM"
"L","KOM","G7","SRJN","PNS","PSN","IPK_SM"
"P","KOM","G4","SRJN","PNS","PDG","IPK_SM"
"L","KOM","G2","SMTA","LL","PS","IPK_SM"
"P","KOM","G4","SRJN","GRD","PNS","IPK_SM"
"P","KOM","G2","SMTA","PS","PDG","IPK_KM"
"P","KOM","G4","SMTA","LL","PDG","IPK_SM"
"L","KOM","G3","LL","PSN","PDG","IPK_SM"
"P","KOM","G2","SMTA","PS","LL","IPK_SM"
"P","KOM","G2","LL","PDG","BPN","IPK_SM"
"P","KOM","G4","SRJN","PDG","PS","IPK_SM"
"P","KOM","G2","SMTA","LL","PDG","IPK_KM"
"L","KOM","G2","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G4","SRJN","LL","PS","IPK_SM"
"L","KOM","G5","SRJN","GRD","LL","IPK_SM"
"P","KOM","G4","SRJN","PNS","PS","IPK_KM"
"L","KOM","G5","SRJN","PDG","PNS","IPK_SM"
"L","KOM","G4","SRJN","GRD","GRD","IPK_KM"
"P","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G7","SRJN","PS","PS","IPK_M"
"L","KOM","G5","SRJN","GRD","PDG","IPK_KM"
"L","KOM","G4","SMTA","PDG","GRD","IPK_SM"
"P","KOM","G4","SMTA","LL","PDG","IPK_SM"
"P","KOM","G1","SD","PDG","GRD","IPK_SM"
"P","KOM","G4","SMTA","LL","PNS","IPK_KM"
"P","KOM","G4","SMTA","LL","PS","IPK_SM"
"L","KOM","G3","SRJN","LL","PNS","IPK_SM"
"P","KOM","G2","SRJN","PDG","BPN","IPK_KM"
"P","KOM","G3","SRJN","GRD","PDG","IPK_SM"
"L","KOM","G7","SRJN","LL","PS","IPK_SM"
"P","KOM","G4","SRJN","PDG","LL","IPK_SM"
"L","KOM","G7","SRJN","GRD","PS","IPK_SM"
"P","KOM","G3","SRJN","GRD","GRD","IPK_KM"
"P","KOM","G3","SRJN","PDG","PDG","IPK_SM"
"P","KOM","G3","SMTA","PS","PS","IPK_SM"
"L","KOM","G2","SD","BPN","BPN","IPK_CUM"
"P","KOM","G3","SRJN","PSN","LL","IPK_KM"
"P","KOM","G4","SMTA","LL","PDG","IPK_SM"
"L","KOM","G4","SRJN","GRD","GRD","IPK_KM"
"L","KOM","G4","SMTA","PDG","PDG","IPK_SM"
"P","KOM","G4","SRJN","LL","PNS","IPK_KM"
"P","KOM","G3","SRJN","PNS","GRD","IPK_SM"
"P","KOM","G4","SMTA","PDG","GRD","IPK_CUM"
"L","KOM","G4","SMTA","PSN","PSN","IPK_SM"
"L","KOM","G2","SMTA","PDG","BPN","IPK_SM"
"P","KOM","G3","SMTA","LL","PS","IPK_SM"
"L","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G3","SMTA","PS","PDG","IPK_KM"
"P","KOM","G2","SMTA","PDG","PDG","IPK_KM"
"P","KOM","G3","SRJN","GRD","PSN","IPK_SM"
"L","KOM","G4","SRJN","LL","LL","IPK_SM"
"L","KOM","G5","SMP","LL","PDG","IPK_SM"
"P","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"L","KOM","G3","SMP","PDG","PDG","IPK_KM"
"P","KOM","G3","SMTA","GRD","PDG","IPK_SM"
"L","KOM","G2","SMTA","LL","BPN","IPK_SM"
"P","KOM","G4","SMP","PDG","PDG","IPK_SM"
"P","KOM","G6","SD","LL","BPN","IPK_SM"
"P","KOM","G3","SRJN","LL","PS","IPK_SM"
"P","KOM","G2","SMTA","PNS","PDG","IPK_CUM"
"L","KOM","G3","SMTA","LL","PSN","IPK_SM"
"L","KOM","G4","SMTA","PDG","PDG","IPK_KM"
"P","KOM","G3","SRJN","PSN","PSN","IPK_KM"
"L","KOM","G4","SRJN","GRD","PNS","IPK_KM"
"P","KOM","G2","SD","BPN","BPN","IPK_SM"
"P","KOM","G3","SMTA","PDG","PDG","IPK_KM"
"L","KOM","G4","SRJN","PDG","GRD","IPK_KM"
"P","KOM","G4","SRJN","LL","PNS","IPK_SM"
"L","KOM","G3","SMTA","PDG","PDG","IPK_SM"
"L","KOM","G3","SMTA","PDG","PDG","IPK_M"
"L","KOM","G4","SRJN","LL","PS","IPK_KM"
"L","KOM","G3","SRJN","GRD","PNS","IPK_KM"
"P","KOM","G2","SMTA","LL","PDG","IPK_SM"
"P","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G4","SD","LL","PDG","IPK_SM"
"P","KOM","G3","SRJN","PNS","PS","IPK_SM"
"P","KOM","G7","SRJN","PS","PNS","IPK_KM"
"P","KOM","G2","SRJN","PNS","PDG","IPK_SM"
"P","KOM","G2","SD","LL","BPN","IPK_CUM"
"P","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G3","SRJN","LL","PDG","IPK_SM"
"P","KOM","G5","SMP","PDG","PDG","IPK_SM"
"P","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G3","SMTA","LL","PS","IPK_SM"
"P","KOM","G5","SRJN","LL","PNS","IPK_SM"
"P","KOM","G3","SRJN","PS","PNS","IPK_SM"
"P","KOM","G4","SRJN","LL","PS","IPK_SM"
"L","KOM","G4","SRJN","GRD","PSN","IPK_SM"
"L","KOM","G5","SRJN","LL","PS","IPK_SM"
"L","KOM","G3","SRJN","LL","LL","IPK_SM"
"P","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G7","SMTA","LL","PDG","IPK_SM"
"P","KOM","G2","SMP","PDG","PS","IPK_SM"
"P","KOM","G4","SMTA","LL","PNS","IPK_SM"
"P","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"L","KOM","G4","SRJN","PNS","PNS","IPK_KM"
