,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
105,P,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
106,P,AKU,G3,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
107,P,AKU,G3,SMP,LL,ABRI,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
108,L,AKU,G4,SMTA,PNS,GRD,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
109,P,AKU,G6,SRJN,PNS,PNS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
110,P,AKU,G2,LL,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
111,P,AKU,G4,SMP,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
112,P,AKU,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
113,P,AKU,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
114,P,AKU,G2,SMP,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
115,P,AKU,G4,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
116,L,AKU,G4,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LTW
117,P,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
118,P,AKU,G4,SMTA,PDG,ABRI,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
119,P,AKU,G3,SRJN,PNS,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
120,P,AKU,G3,SMTA,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
121,P,AKU,G5,SRJN,GRD,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
122,P,AKU,G3,SMTA,GRD,LL,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LTW
123,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
124,P,AKU,G2,SMP,PDG,LL,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LTW
125,P,AKU,G4,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
126,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
127,L,AKU,G7,SRJN,LL,PNS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
128,L,AKU,G3,SMTA,LL,PS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LTW
129,L,AKU,G4,SRJN,PS,LL,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
130,L,AKU,G4,SMTA,PSN,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,LLW
131,P,AKU,G4,SD,PDG,PS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
132,P,AKU,G3,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
