@relation data_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","MTK","G2","SMP","BPN","BPN","LLW_1"
"P","MTK","G3","SRJN","GRD","GRD","LLW_1"
"P","MTK","G2","SMP","PDG","PDG","LLW_2"
"L","MTK","G4","SMTA","LL","LL","LLW_2"
"P","MTK","G3","SMTA","PS","PS","LLW_1"
"P","MTK","G3","SD","LL","PSN","LTW"
"P","MTK","G3","SMTA","LL","PDG","LTW"
"L","MTK","G2","SRJN","PDG","PS","LLW_2"
"P","MTK","G5","SMTA","PDG","PNS","LLW_1"
"P","MTK","G3","LL","BPN","BPN","LLW_2"
"P","MTK","G3","SRJN","GRD","GRD","LLW_2"
"L","MTK","G4","SMTA","PDG","GRD","LLW_2"
"P","MTK","G2","SMP","BPN","BPN","LLW_2"
"L","MTK","G3","SMTA","LL","PDG","LTW"
"P","MTK","G2","SMTA","LL","PNS","LLW_2"
"P","MTK","G3","SMTA","LL","PNS","LTW"
"L","MTK","G4","SMTA","LL","PNS","LLW_2"
"P","MTK","G3","SMTA","PDG","PDG","LLW_2"
"P","MTK","G3","SRJN","PS","PDG","LLW_1"
"P","MTK","G5","SMTA","PDG","PDG","LLW_1"
"L","MTK","G3","SMTA","PDG","BPN","LLW_2"
"L","MTK","G3","SMTA","LL","PSN","LTW"
"P","MTK","G3","SMTA","PNS","PS","LLW_1"
"P","MTK","G4","SMTA","BPN","PNS","LLW_2"
"P","MTK","G2","SMTA","PDG","GRD","LLW_2"
