,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
1957,L,EKO,G5,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
766,L,AKU,G4,SD,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
5974,P,HUK,G3,SMTA,PDG,PNS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
777,L,AKU,G5,SRJN,PNS,PSN,IPS1_SM,IPS2_M,IPK_SM-LTW
2075,P,EKO,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1183,L,AKU,G3,SRJN,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LTW
6024,P,HUK,G5,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,IPK_SM-LTW
1070,L,AKU,G3,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
6162,P,HUK,G3,SRJN,PDG,PDG,IPS1_M,IPS2_M,IPK_SM-LLW
1115,P,AKU,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
5871,P,HUK,G3,SMP,PS,PS,IPS1_CUM,IPS2_M,IPK_SM-LLW
1832,P,EKO,G4,SRJN,GRD,PDG,IPS1_KM,IPS2_SM,IPK_SM-LLW
5555,L,HUK,G3,SMTA,LL,PS,IPS1_KM,IPS2_SM,IPK_SM-LLW
3206,P,KOM,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,IPK_KM-LLW
5975,P,HUK,G4,SRJN,LL,PDG,IPS1_SM,IPS2_M,IPK_SM-LTW
1000,L,AKU,G4,SRJN,PS,GRD,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
6132,L,HUK,G1,SMTA,LL,LL,IPS1_SM,IPS2_M,IPK_CUM-LLW
6113,P,HUK,G2,SMTA,PNS,PSN,IPS1_SM,IPS2_M,IPK_SM-LLW
5739,L,HUK,G3,SRJN,PNS,PDG,IPS1_KM,IPS2_KM,IPK_KM-LLW
3136,P,KOM,G3,SMTA,LL,PS,IPS1_CUM,IPS2_KM,IPK_SM-LLW
2221,P,EKO,G3,SMTA,LL,PS,IPS1_CUM,IPS2_SM,IPK_SM-LLW
3034,P,KOM,G2,SD,PDG,PDG,IPS1_KM,IPS2_CUM,IPK_SM-LLW
977,L,AKU,G4,SMP,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LLW
6141,L,HUK,G4,SRJN,PNS,PNS,IPS1_KM,IPS2_KM,IPK_M-LLW
875,P,AKU,G4,SMTA,PDG,ABRI,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1806,P,EKO,G2,SMTA,LL,PDG,IPS1_SM,IPS2_M,IPK_KM-LLW
5879,P,HUK,G2,SRJN,PDG,LL,IPS1_SM,IPS2_KM,IPK_SM-LTW
