,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
167,P,FISIKA,G4,SMTA,LL,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
168,L,FISIKA,G4,SMTA,PDG,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
169,L,FISIKA,G1,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
170,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LTW
171,L,FISIKA,G4,SMTA,PDG,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
172,P,FISIKA,G4,SD,PDG,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LLW_1
173,P,FISIKA,G4,SMTA,LL,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
174,P,FISIKA,G2,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
175,P,FISIKA,G3,SMTA,PDG,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
176,P,FISIKA,G2,SD,BPN,LL,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
177,P,FISIKA,G5,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
178,P,FISIKA,G1,SMTA,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_2
179,L,FISIKA,G2,SD,LL,LL,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
180,L,FISIKA,G2,SMTA,PDG,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LTW
181,L,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
182,P,FISIKA,G2,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LTW
183,P,FISIKA,G2,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,LTW
