,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
151,P,AKU,G4,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
152,P,AKU,G4,SRJN,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
153,P,AKU,G3,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
154,P,AKU,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
155,L,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
156,P,AKU,G2,LL,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
157,L,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
158,P,AKU,G3,SMP,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
159,P,AKU,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
160,P,AKU,G2,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
161,P,AKU,G5,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
162,L,AKU,G3,SRJN,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
163,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
164,P,AKU,G4,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
165,L,AKU,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
166,P,AKU,G2,SD,LL,LL,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
167,P,AKU,G5,SRJN,GRD,PSN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
168,P,AKU,G4,SD,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
169,L,AKU,G4,SMTA,PSN,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
170,P,AKU,G3,SRJN,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
171,L,AKU,G4,SRJN,GRD,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
172,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
173,P,AKU,G3,SMTA,GRD,LL,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
174,P,AKU,G3,SMTA,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
175,L,AKU,G3,SMP,PSN,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
176,P,AKU,G6,SRJN,PNS,PNS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
177,L,AKU,G3,SMTA,PS,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
178,P,AKU,G5,SRJN,PNS,ABRI,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
179,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
180,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
181,P,AKU,G4,SRJN,PNS,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
182,L,AKU,G4,SRJN,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
183,P,AKU,G6,SRJN,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
184,L,AKU,G4,SRJN,LL,GRD,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,IPK_SM
185,P,AKU,G4,SMTA,PS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
186,P,AKU,G5,SRJN,LL,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
187,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
188,L,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
189,P,AKU,G3,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
190,P,AKU,G2,SD,LL,BPN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
191,L,AKU,G3,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
192,L,AKU,G4,SMTA,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
193,P,AKU,G3,SMTA,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
194,L,AKU,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
195,P,AKU,G5,SRJN,PDG,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
196,P,AKU,G3,SMTA,PDG,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
197,P,AKU,G2,SD,LL,BPN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_KM
198,P,AKU,G4,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
199,P,AKU,G3,SMTA,LL,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
200,P,AKU,G4,SRJN,PDG,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
201,P,AKU,G4,SMP,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
202,L,AKU,G4,SMP,LL,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
203,L,AKU,G4,SRJN,LL,LL,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
204,L,AKU,G3,SRJN,PSN,PSN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
205,L,AKU,G6,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
206,P,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
207,L,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
208,L,AKU,G4,SMTA,PNS,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
209,L,AKU,G1,SRJN,GRD,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
210,P,AKU,G2,SMTA,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
211,L,AKU,G5,SRJN,PNS,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
212,P,AKU,G2,SMTA,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
213,L,AKU,G4,SRJN,LL,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
214,L,AKU,G4,SRJN,PS,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
