,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
824,P,AKU,G3,SMTA,PSN,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
2193,L,EKO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5417,L,HUK,G3,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
2307,P,EKO,G2,LL,PDG,BPN,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5796,L,HUK,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
915,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
5570,L,HUK,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_K,SKS2_B,IPK_SM
947,L,AKU,G4,SRJN,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
5947,P,HUK,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
5133,L,HUK,G3,SMTA,PNS,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
2290,P,EKO,G2,SD,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
1163,L,AKU,G5,SRJN,GRD,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_SM
3459,P,KOM,G3,SMTA,PS,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5888,P,HUK,G2,SRJN,GRD,BPN,IPS1_CUM,IPS2_M,SKS1_SB,SKS2_SB,IPK_CUM
5387,P,HUK,G3,SRJN,PDG,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
5669,L,HUK,G3,SRJN,PNS,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
2121,P,EKO,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
2116,L,EKO,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
2218,P,EKO,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
6127,L,HUK,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1112,P,AKU,G4,SMTA,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5145,P,HUK,G1,SMP,LL,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1109,L,AKU,G3,SRJN,GRD,LL,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
3192,L,KOM,G4,SMTA,PNS,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
1952,L,EKO,G2,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
1976,L,EKO,G2,SRJN,GRD,PDG,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
1806,P,EKO,G2,SMTA,LL,PDG,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_KM
6353,P,HUK,G4,SRJN,PSN,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_M
5156,L,HUK,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
6303,L,HUK,G5,SRJN,GRD,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
6087,L,HUK,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
5529,L,HUK,G3,SMTA,PDG,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
6044,L,HUK,G4,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_C,SKS2_B,IPK_SM
6317,P,HUK,G5,SRJN,PNS,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
5928,L,HUK,G3,SMTA,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
