,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
795,L,KOM,G2,SMTA,LL,PS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
796,P,KOM,G4,SRJN,GRD,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
797,P,KOM,G2,SMTA,PS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
798,P,KOM,G6,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
799,P,KOM,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
800,L,KOM,G3,LL,PSN,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
801,L,KOM,G7,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
802,P,KOM,G2,SMTA,PS,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
803,P,KOM,G2,LL,PDG,BPN,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
804,P,KOM,G4,SRJN,PDG,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
805,L,KOM,G2,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
806,P,KOM,G4,SRJN,LL,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
807,L,KOM,G5,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
808,P,KOM,G6,SRJN,PDG,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
809,P,KOM,G4,SRJN,PNS,PS,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
810,L,KOM,G4,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
