@relation data_mipa_ipk_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","FISIKA","G2","SD","LL","BPN","IPK_SM"
"L","FISIKA","G2","SMTA","PDG","PDG","IPK_SM"
"L","FISIKA","G2","SMTA","LL","GRD","IPK_KM"
"L","FISIKA","G2","SRJN","GRD","PDG","IPK_M"
"P","FISIKA","G1","SD","BPN","BPN","IPK_SM"
"P","FISIKA","G4","SMP","BPN","GRD","IPK_M"
"P","FISIKA","G2","SMTA","PDG","PDG","IPK_SM"
"P","FISIKA","G1","SMP","LL","BPN","IPK_SM"
"L","FISIKA","G4","SRJN","GRD","LL","IPK_SM"
"L","FISIKA","G1","SMTA","LL","PS","IPK_CUM"
"P","FISIKA","G3","SRJN","GRD","GRD","IPK_CUM"
"P","FISIKA","G4","SRJN","PDG","GRD","IPK_SM"
"P","FISIKA","G1","SMTA","PDG","BPN","IPK_SM"
"L","FISIKA","G2","LL","BPN","BPN","IPK_M"
"L","FISIKA","G3","SMTA","PSN","PSN","IPK_M"
"L","FISIKA","G2","SMP","PDG","PS","IPK_M"
"P","FISIKA","G2","SD","LL","PS","IPK_M"
"P","FISIKA","G2","LL","LL","BPN","IPK_M"
"L","FISIKA","G4","SMTA","LL","PDG","IPK_M"
"P","FISIKA","G2","SD","LL","BPN","IPK_SM"
"P","FISIKA","G4","SRJN","GRD","GRD","IPK_SM"
"L","FISIKA","G3","SMP","LL","PNS","IPK_M"
"P","FISIKA","G5","SRJN","LL","PNS","IPK_SM"
"P","FISIKA","G1","SD","BPN","BPN","IPK_SM"
"L","FISIKA","G3","LL","BPN","PNS","IPK_M"
"L","FISIKA","G2","SMTA","PDG","PDG","IPK_SM"
"P","FISIKA","G4","SMTA","PDG","GRD","IPK_SM"
"P","FISIKA","G3","SD","LL","BPN","IPK_SM"
"L","FISIKA","G1","SMP","BPN","PDG","IPK_M"
"P","FISIKA","G2","SD","BPN","PSN","IPK_SM"
"L","FISIKA","G2","LL","BPN","BPN","IPK_KM"
"P","FISIKA","G2","SD","PDG","PDG","IPK_M"
"L","FISIKA","G2","SMP","PDG","GRD","IPK_CUM"
"P","FISIKA","G3","SMTA","LL","GRD","IPK_M"
"L","FISIKA","G3","SD","PDG","PDG","IPK_SM"
"L","FISIKA","G5","SRJN","GRD","PDG","IPK_M"
"P","FISIKA","G2","SMTA","PDG","PSN","IPK_SM"
"L","FISIKA","G1","SD","PDG","PDG","IPK_SM"
"P","FISIKA","G1","SD","BPN","BPN","IPK_SM"
"P","FISIKA","G4","SD","PDG","GRD","IPK_SM"
