@relation data_mipa_ipk_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","BIO","G7","SMTA","LL","PS","IPK_SM"
"P","BIO","G4","SMTA","LL","PSN","IPK_CUM"
"P","BIO","G3","LL","LL","PNS","IPK_SM"
"P","BIO","G5","SRJN","GRD","PNS","IPK_SM"
"P","BIO","G5","SRJN","GRD","PS","IPK_SM"
"P","BIO","G2","LL","BPN","BPN","IPK_SM"
"L","BIO","G2","SD","BPN","BPN","IPK_SM"
"P","BIO","G3","SMTA","LL","PS","IPK_CUM"
"P","BIO","G7","SRJN","LL","GRD","IPK_SM"
"P","BIO","G6","SMTA","GRD","LL","IPK_CUM"
"P","BIO","G7","SMTA","LL","PNS","IPK_CUM"
"L","BIO","G5","SMTA","LL","PS","IPK_CUM"
"P","BIO","G3","SMTA","PDG","PDG","IPK_SM"
"P","BIO","G4","LL","LL","PDG","IPK_SM"
"P","BIO","G1","LL","PDG","BPN","IPK_SM"
"P","BIO","G4","SMTA","LL","PS","IPK_SM"
"P","BIO","G2","SD","BPN","BPN","IPK_CUM"
"P","BIO","G4","SMTA","LL","BPN","IPK_SM"
"L","BIO","G3","SMTA","PS","PNS","IPK_SM"
"P","BIO","G2","LL","GRD","LL","IPK_CUM"
"P","BIO","G3","SMP","PS","PDG","IPK_CUM"
"P","BIO","G4","SMP","PDG","PDG","IPK_SM"
"L","BIO","G3","SMTA","PDG","PSN","IPK_SM"
"L","BIO","G3","SMTA","LL","LL","IPK_SM"
"P","BIO","G4","SRJN","LL","PS","IPK_SM"
"P","BIO","G3","SD","BPN","BPN","IPK_CUM"
"L","BIO","G2","SRJN","LL","PS","IPK_SM"
"P","BIO","G3","SRJN","LL","PDG","IPK_CUM"
"L","BIO","G3","SMTA","BPN","BPN","IPK_SM"
"P","BIO","G2","SMP","LL","BPN","IPK_CUM"
"P","BIO","G4","SRJN","PS","PNS","IPK_CUM"
"L","BIO","G7","SMTA","GRD","PS","IPK_SM"
"P","BIO","G4","SMTA","LL","GRD","IPK_SM"
"P","BIO","G2","SMTA","PDG","PDG","IPK_SM"
"P","BIO","G2","SMTA","LL","LL","IPK_SM"
"P","BIO","G3","SMTA","PDG","PDG","IPK_SM"
"L","BIO","G7","SRJN","LL","PNS","IPK_CUM"
"P","BIO","G4","SRJN","BPN","PNS","IPK_SM"
"L","BIO","G3","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G4","SRJN","LL","LL","IPK_CUM"
"P","BIO","G4","SMTA","LL","LL","IPK_SM"
"P","BIO","G1","SMTA","PDG","LL","IPK_CUM"
"P","BIO","G4","SRJN","LL","GRD","IPK_CUM"
"P","BIO","G4","SMTA","BPN","LL","IPK_CUM"
"P","BIO","G2","LL","LL","BPN","IPK_CUM"
"P","BIO","G3","SD","LL","PDG","IPK_SM"
"P","BIO","G2","SMP","LL","BPN","IPK_SM"
"P","BIO","G3","SMTA","LL","PDG","IPK_CUM"
"P","BIO","G4","SMTA","PDG","PSN","IPK_SM"
"P","BIO","G3","SMP","PS","PS","IPK_SM"
"P","BIO","G2","SD","PDG","PDG","IPK_SM"
"P","BIO","G5","SRJN","LL","GRD","IPK_SM"
"P","BIO","G2","SD","BPN","BPN","IPK_SM"
"L","BIO","G2","SD","LL","PDG","IPK_SM"
"L","BIO","G4","SMTA","LL","GRD","IPK_CUM"
"L","IF","G3","SMTA","GRD","LL","IPK_M"
"L","IF","G2","SMTA","LL","BPN","IPK_CUM"
"L","IF","G4","SD","LL","PNS","IPK_SM"
"L","IF","G4","SD","LL","PS","IPK_SM"
"L","IF","G2","SD","BPN","BPN","IPK_SM"
"L","IF","G3","SMTA","LL","BPN","IPK_SM"
"L","IF","G4","SRJN","PNS","PNS","IPK_SM"
"P","IF","G3","SRJN","PNS","LL","IPK_SM"
"L","IF","G2","SD","LL","BPN","IPK_SM"
"L","IF","G2","SD","LL","PNS","IPK_SM"
"L","IF","G5","SD","LL","BPN","IPK_SM"
"L","IF","G2","SMTA","LL","LL","IPK_SM"
"P","IF","G3","SMTA","LL","PS","IPK_SM"
"P","IF","G3","SD","PDG","BPN","IPK_SM"
"L","IF","G3","SRJN","GRD","GRD","IPK_SM"
"L","IF","G3","SRJN","GRD","PNS","IPK_SM"
"P","IF","G3","SRJN","GRD","BPN","IPK_SM"
"P","IF","G3","SMTA","LL","GRD","IPK_SM"
"P","IF","G3","SMTA","PS","PS","IPK_CUM"
"L","IF","G3","SRJN","GRD","LL","IPK_SM"
"P","IF","G3","SRJN","LL","PNS","IPK_SM"
"L","IF","G3","SD","PDG","PDG","IPK_M"
"P","IF","G3","SRJN","GRD","PSN","IPK_CUM"
"P","IF","G2","SD","BPN","PDG","IPK_SM"
"P","IF","G3","SRJN","GRD","GRD","IPK_SM"
"P","IF","G3","SMTA","GRD","GRD","IPK_SM"
"P","IF","G3","SMTA","LL","GRD","IPK_CUM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G4","SRJN","PNS","PNS","IPK_CUM"
"L","IF","G4","SRJN","GRD","PSN","IPK_SM"
"P","IF","G4","SRJN","LL","LL","IPK_SM"
"L","IF","G4","SRJN","GRD","PSN","IPK_SM"
"P","IF","G4","SRJN","PDG","PNS","IPK_CUM"
"P","IF","G4","SRJN","LL","PNS","IPK_SM"
"L","IF","G2","SMTA","LL","PSN","IPK_SM"
"P","IF","G3","SRJN","LL","PNS","IPK_SM"
"P","IF","G3","SRJN","PSN","PSN","IPK_CUM"
"L","IF","G2","SD","BPN","BPN","IPK_CUM"
"L","IF","G4","SRJN","PS","PNS","IPK_KM"
"P","IF","G6","SRJN","GRD","PNS","IPK_SM"
"L","IF","G4","SRJN","PNS","GRD","IPK_CUM"
"L","IF","G3","SMTA","LL","GRD","IPK_SM"
"L","IF","G3","SD","PDG","PNS","IPK_SM"
"P","IF","G4","SMTA","PNS","PS","IPK_CUM"
"P","IF","G1","SRJN","PDG","PDG","IPK_SM"
"L","IF","G3","SMP","PDG","GRD","IPK_M"
"L","IF","G4","LL","LL","PDG","IPK_SM"
"P","IF","G4","LL","LL","PS","IPK_CUM"
"L","IF","G4","SRJN","LL","PNS","IPK_CUM"
"P","IF","G2","SMTA","LL","PSN","IPK_SM"
"L","IF","G1","SD","LL","PDG","IPK_SM"
"P","IF","G3","SMTA","LL","PS","IPK_SM"
"P","IF","G3","SMTA","PDG","GRD","IPK_SM"
"P","IF","G3","SMTA","LL","PS","IPK_SM"
"P","IF","G4","SMTA","PS","PNS","IPK_M"
"L","IF","G4","SRJN","GRD","PS","IPK_SM"
"P","IF","G4","SMTA","PDG","PDG","IPK_CUM"
"L","IF","G4","SMTA","PNS","GRD","IPK_SM"
"L","IF","G6","SRJN","LL","PS","IPK_SM"
"P","IF","G2","SD","LL","PNS","IPK_SM"
"P","IF","G4","SMTA","PDG","GRD","IPK_M"
"L","IF","G3","SRJN","GRD","LL","IPK_SM"
"L","IF","G4","SRJN","PDG","PNS","IPK_SM"
"P","IF","G3","SMTA","PDG","PSN","IPK_SM"
"L","IF","G5","SMTA","LL","PNS","IPK_SM"
"P","IF","G3","SMTA","LL","PNS","IPK_SM"
"L","IF","G4","SRJN","PNS","GRD","IPK_SM"
"L","IF","G2","LL","PDG","BPN","IPK_SM"
"P","IF","G3","SRJN","GRD","PNS","IPK_SM"
"P","IF","G4","SMTA","GRD","PNS","IPK_SM"
"L","IF","G2","SRJN","LL","LL","IPK_KM"
"L","IF","G4","SRJN","GRD","GRD","IPK_SM"
"L","IF","G3","SRJN","GRD","PDG","IPK_SM"
"L","IF","G4","SMTA","LL","PS","IPK_SM"
"P","IF","G3","SMTA","LL","PS","IPK_SM"
"L","IF","G3","SD","LL","PSN","IPK_SM"
"L","IF","G5","SRJN","GRD","GRD","IPK_SM"
"L","IF","G4","SMTA","PDG","PSN","IPK_SM"
"P","IF","G4","SRJN","PNS","GRD","IPK_SM"
"L","IF","G2","SD","PDG","LL","IPK_SM"
"L","IF","G4","SRJN","GRD","GRD","IPK_M"
"P","IF","G4","SRJN","GRD","PNS","IPK_SM"
"L","IF","G4","SMTA","LL","PDG","IPK_SM"
"P","IF","G1","SMTA","PDG","PDG","IPK_SM"
"P","IF","G3","SMTA","PDG","PSN","IPK_CUM"
"L","IF","G3","SD","PDG","PNS","IPK_M"
"L","IF","G4","SRJN","GRD","GRD","IPK_SM"
"L","IF","G2","SD","PDG","PDG","IPK_CUM"
"L","IF","G4","SMTA","PDG","PNS","IPK_SM"
"L","IF","G4","SRJN","GRD","PDG","IPK_M"
"P","IF","G4","SRJN","PNS","PS","IPK_SM"
"L","IF","G3","SRJN","PS","PDG","IPK_SM"
"L","IF","G3","SRJN","GRD","GRD","IPK_CUM"
"L","IF","G4","SRJN","PNS","PNS","IPK_SM"
"P","IF","G2","SD","BPN","BPN","IPK_SM"
"P","IF","G3","SRJN","GRD","GRD","IPK_SM"
"L","IF","G3","SRJN","PS","PS","IPK_CUM"
"L","IF","G4","SRJN","PDG","GRD","IPK_SM"
"L","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G3","SMTA","PSN","PSN","IPK_SM"
"P","IF","G4","SRJN","PS","PNS","IPK_SM"
"L","IF","G3","SMTA","PDG","LL","IPK_KM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"L","IF","G5","SRJN","GRD","GRD","IPK_CUM"
"L","IF","G2","SMTA","LL","PSN","IPK_SM"
"L","IF","G4","SMTA","LL","PS","IPK_CUM"
"L","IF","G4","SRJN","GRD","GRD","IPK_SM"
"L","IF","G3","SD","LL","PSN","IPK_SM"
"L","IF","G4","SRJN","LL","GRD","IPK_CUM"
"P","IF","G4","SMTA","GRD","PS","IPK_SM"
"P","IF","G1","SD","LL","PDG","IPK_CUM"
"P","IF","G3","SMTA","PDG","PS","IPK_SM"
"L","IF","G4","SRJN","GRD","PS","IPK_KM"
"L","IF","G4","SMTA","LL","PS","IPK_SM"
"L","IF","G2","SMTA","LL","GRD","IPK_CUM"
"L","IF","G4","SRJN","LL","GRD","IPK_SM"
"P","IF","G4","SRJN","PNS","PNS","IPK_SM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G4","SMTA","GRD","BPN","IPK_SM"
"L","IF","G4","SMP","LL","PS","IPK_SM"
"P","IF","G4","SMTA","LL","GRD","IPK_CUM"
"L","IF","G2","SRJN","GRD","LL","IPK_CUM"
"P","IF","G2","SMP","BPN","BPN","IPK_CUM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G4","SRJN","LL","GRD","IPK_CUM"
"P","IF","G2","LL","LL","PS","IPK_SM"
"P","IF","G3","SMTA","PNS","PSN","IPK_SM"
"P","IF","G2","SMTA","BPN","PDG","IPK_SM"
"L","IF","G2","SMTA","LL","PSN","IPK_CUM"
"L","IF","G4","SRJN","GRD","PNS","IPK_CUM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"L","IF","G4","SRJN","GRD","LL","IPK_CUM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G3","SMTA","LL","PS","IPK_SM"
"L","IF","G4","SRJN","GRD","PNS","IPK_CUM"
"L","IF","G1","SD","LL","LL","IPK_CUM"
"L","IF","G4","SMTA","PDG","GRD","IPK_SM"
"P","IF","G1","SMTA","PS","LL","IPK_CUM"
"P","IF","G2","SMP","BPN","BPN","IPK_M"
"P","IF","G2","SMTA","LL","PS","IPK_SM"
"L","IF","G3","SMP","PDG","PNS","IPK_SM"
"L","IF","G4","SRJN","GRD","LL","IPK_CUM"
"L","IF","G4","SMTA","LL","PNS","IPK_M"
"P","IF","G5","SRJN","GRD","GRD","IPK_CUM"
"P","IF","G2","SMP","LL","PS","IPK_SM"
"P","IF","G3","SRJN","GRD","PDG","IPK_SM"
"L","IF","G5","SRJN","LL","PS","IPK_SM"
"L","IF","G4","SRJN","GRD","GRD","IPK_CUM"
"P","IF","G3","SRJN","PDG","PDG","IPK_SM"
"L","IF","G3","SMTA","LL","PSN","IPK_CUM"
"L","IF","G3","SMTA","LL","PSN","IPK_SM"
"P","IF","G3","SRJN","LL","PNS","IPK_CUM"
"P","IF","G2","SMP","PDG","BPN","IPK_CUM"
"L","IF","G4","SRJN","PNS","PNS","IPK_SM"
"L","IF","G4","SMTA","LL","GRD","IPK_SM"
"L","IF","G5","SRJN","GRD","PNS","IPK_SM"
"P","IF","G5","SMTA","LL","PDG","IPK_SM"
"P","IF","G4","SRJN","GRD","PNS","IPK_CUM"
"P","IF","G4","SMTA","LL","PS","IPK_SM"
"P","IF","G2","SMTA","PDG","PDG","IPK_CUM"
"L","IF","G3","SMTA","LL","PSN","IPK_SM"
"P","IF","G4","SMTA","PDG","PDG","IPK_CUM"
"P","IF","G4","SRJN","GRD","PSN","IPK_SM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"L","IF","G4","SRJN","PNS","PSN","IPK_SM"
"L","IF","G5","SRJN","LL","PSN","IPK_SM"
"P","IF","G3","SRJN","LL","GRD","IPK_CUM"
"P","IF","G4","SRJN","GRD","PS","IPK_CUM"
"L","IF","G3","SD","LL","BPN","IPK_CUM"
"L","IF","G4","SMTA","LL","LL","IPK_SM"
"P","IF","G1","SMTA","LL","BPN","IPK_CUM"
"L","IF","G5","SRJN","PNS","GRD","IPK_CUM"
"L","IF","G4","SMTA","PDG","LL","IPK_SM"
"L","IF","G4","SRJN","LL","GRD","IPK_SM"
"L","IF","G5","SMTA","PS","LL","IPK_CUM"
"P","IF","G5","SRJN","PS","PNS","IPK_CUM"
"P","IF","G4","SRJN","GRD","GRD","IPK_CUM"
"P","IF","G4","SMTA","LL","GRD","IPK_CUM"
"P","IF","G3","SRJN","GRD","LL","IPK_CUM"
"L","IF","G4","SRJN","LL","PS","IPK_CUM"
