,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
1133,L,AKU,G3,SMP,PDG,PSN,IPK_SM
3192,L,KOM,G4,SMTA,PNS,PNS,IPK_SM
994,L,AKU,G2,SD,PDG,PDG,IPK_SM
713,P,AKU,G4,SRJN,GRD,GRD,IPK_SM
2125,L,EKO,G4,SMTA,LL,PNS,IPK_SM
6291,L,HUK,G3,SMTA,LL,PS,IPK_SM
3425,P,KOM,G3,SD,PDG,PDG,IPK_SM
5677,P,HUK,G4,SRJN,LL,PNS,IPK_SM
5656,L,HUK,G4,SRJN,GRD,PS,IPK_SM
6391,P,HUK,G4,SMTA,PDG,PDG,IPK_SM
5658,P,HUK,G3,SMTA,PDG,PS,IPK_SM
2142,L,EKO,G4,SMTA,LL,PNS,IPK_SM
1036,L,AKU,G3,SMP,LL,PSN,IPK_SM
5693,L,HUK,G1,SMP,LL,PSN,IPK_SM
991,L,AKU,G5,SRJN,PNS,GRD,IPK_SM
5944,L,HUK,G4,SMTA,LL,PNS,IPK_SM
2100,P,EKO,G2,SD,LL,PDG,IPK_SM
6254,L,HUK,G3,SRJN,GRD,PDG,IPK_SM
5987,P,HUK,G4,SMTA,LL,ABRI,IPK_SM
5819,P,HUK,G3,SRJN,PS,PS,IPK_SM
1788,P,EKO,G4,SMTA,LL,GRD,IPK_SM
802,L,AKU,G1,SMTA,LL,LL,IPK_SM
1177,L,AKU,G4,SRJN,PS,PNS,IPK_SM
3136,P,KOM,G3,SMTA,LL,PS,IPK_SM
1186,P,AKU,G5,SMTA,LL,PS,IPK_SM
2229,P,EKO,G5,SMTA,PDG,PDG,IPK_SM
5114,L,HUK,G4,SMTA,LL,PNS,IPK_SM
6121,P,HUK,G4,SMTA,PNS,LL,IPK_SM
5711,P,HUK,G7,SRJN,PDG,PDG,IPK_SM
2098,L,EKO,G4,SRJN,GRD,PDG,IPK_SM
6028,P,HUK,G4,SRJN,PNS,PSN,IPK_SM
1059,L,AKU,G5,SRJN,GRD,GRD,IPK_SM
