,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
318,P,MTK,G2,LL,LL,PDG,LLW
319,P,MTK,G3,SMTA,LL,PNS,LLW
320,P,MTK,G2,SD,PS,PS,LLW
321,P,MTK,G3,SMP,LL,GRD,LLW
322,P,MTK,G3,SRJN,GRD,PSN,LLW
323,L,MTK,G3,LL,PDG,PNS,LLW
324,L,MTK,G2,SD,BPN,BPN,LLW
325,P,MTK,G1,SMP,BPN,BPN,LTW
326,L,MTK,G3,SD,LL,GRD,LLW
327,P,MTK,G2,SD,LL,PDG,LLW
328,P,MTK,G2,SMTA,LL,PDG,LTW
329,L,MTK,G4,SMTA,GRD,GRD,LLW
330,P,MTK,G3,SMTA,LL,PDG,LLW
331,P,MTK,G2,SD,BPN,PNS,LLW
332,P,MTK,G6,SMTA,PNS,PNS,LLW
333,P,MTK,G1,SMTA,LL,LL,LLW
334,L,MTK,G3,SRJN,GRD,GRD,LLW
335,P,MTK,G1,SD,LL,PDG,LLW
336,L,MTK,G4,SMTA,LL,PS,LLW
337,P,MTK,G3,SRJN,GRD,PSN,LLW
338,P,MTK,G3,SRJN,GRD,PNS,LC
339,P,MTK,G4,SMP,LL,PS,LTW
340,P,MTK,G2,SMP,PDG,LL,LLW
341,L,MTK,G3,SMTA,GRD,PNS,LLW
342,P,MTK,G2,SRJN,GRD,ABRI,LLW
343,L,MTK,G2,SMTA,LL,PSN,LLW
344,L,MTK,G2,SD,LL,PDG,LLW
345,L,MTK,G4,SRJN,GRD,PNS,LLW
346,P,MTK,G1,SD,LL,LL,LLW
347,P,MTK,G2,SMTA,LL,BPN,LLW
348,P,MTK,G3,SRJN,GRD,GRD,LLW
349,P,MTK,G1,SD,PDG,BPN,LLW
350,L,MTK,G3,LL,BPN,BPN,LLW
351,P,MTK,G2,SD,LL,LL,LLW
352,L,MTK,G3,SRJN,GRD,PNS,LLW
353,P,MTK,G2,SRJN,LL,PDG,LLW
354,P,MTK,G3,SMTA,LL,PNS,LLW
355,P,MTK,G2,SMP,LL,PDG,LLW
356,P,MTK,G3,SMTA,LL,PNS,LLW
357,L,MTK,G3,SD,BPN,BPN,LLW
358,P,MTK,G3,SMTA,GRD,PDG,LLW
359,P,MTK,G4,SMTA,PNS,LL,LLW
360,P,MTK,G1,SMTA,PDG,LL,LLW
361,P,MTK,G3,SD,LL,PNS,LLW
362,P,MTK,G2,SMTA,LL,PS,LLW
363,P,MTK,G1,SMTA,LL,PS,LLW
364,P,MTK,G3,SRJN,LL,GRD,LLW
365,P,MTK,G3,SMTA,LL,PSN,LLW
366,L,MTK,G4,SMTA,LL,PS,LLW
367,P,MTK,G2,SD,BPN,BPN,LTW
368,P,MTK,G1,LL,LL,LL,LLW
369,P,MTK,G2,LL,BPN,BPN,LLW
370,P,MTK,G2,SMTA,LL,PS,LTW
371,P,MTK,G3,SMP,PDG,PDG,LLW
372,L,MTK,G1,SRJN,LL,LL,LLW
373,L,MTK,G1,SD,BPN,PDG,LLW
374,P,MTK,G3,SRJN,GRD,GRD,LLW
375,P,MTK,G4,SMTA,PS,PDG,LLW
376,P,MTK,G1,SD,LL,BPN,LLW
377,P,MTK,G2,SD,PDG,LL,LLW
378,L,MTK,G4,SRJN,PNS,PNS,LLW
379,P,MTK,G4,SMTA,LL,PS,LLW
380,P,MTK,G3,SMP,LL,BPN,LLW
381,P,MTK,G1,LL,BPN,BPN,LLW
382,P,MTK,G4,SD,LL,PDG,LTW
383,L,MTK,G3,SRJN,GRD,PS,LLW
384,P,MTK,G3,SMTA,LL,GRD,LTW
385,P,MTK,G3,SMTA,LL,GRD,LLW
386,P,MTK,G3,SMTA,LL,ABRI,LTW
387,P,MTK,G3,SMTA,LL,GRD,LLW
388,L,MTK,G2,SMTA,PDG,GRD,LTW
389,L,MTK,G3,SMTA,LL,PSN,LLW
390,P,MTK,G3,SMTA,PDG,PDG,LTW
391,P,MTK,G2,SMTA,LL,PSN,LLW
392,P,MTK,G5,SRJN,PS,GRD,LLW
393,P,MTK,G3,SD,BPN,GRD,LLW
394,P,MTK,G3,SRJN,PNS,PNS,LTW
395,P,MTK,G1,SMP,PDG,BPN,LLW
396,P,MTK,G1,SMTA,LL,PS,LTW
397,L,MTK,G1,SD,BPN,BPN,LLW
398,P,MTK,G2,SMTA,LL,PDG,LTW
399,L,MTK,G3,SMTA,LL,GRD,LTW
400,P,MTK,G2,SMTA,PDG,PDG,LTW
401,P,MTK,G2,SD,LL,PSN,LLW
402,P,MTK,G1,SMTA,LL,LL,LLW
403,P,MTK,G2,SMP,BPN,BPN,LLW
404,P,MTK,G3,SRJN,GRD,GRD,LLW
405,L,MTK,G4,SMTA,LL,ABRI,LLW
406,P,MTK,G3,SMTA,PS,PS,LLW
407,P,MTK,G3,SD,LL,PSN,LTW
408,P,MTK,G5,SRJN,PDG,PDG,LLW
409,P,MTK,G3,SMTA,LL,PDG,LTW
410,L,MTK,G2,SRJN,PDG,PS,LLW
411,P,MTK,G5,SMTA,PDG,PNS,LLW
412,P,MTK,G3,LL,BPN,BPN,LLW
413,P,MTK,G2,LL,PDG,LL,LLW
414,P,MTK,G2,SD,PDG,PDG,LTW
415,P,MTK,G2,SD,BPN,BPN,LLW
416,P,MTK,G3,SRJN,GRD,GRD,LLW
417,P,MTK,G2,SMP,BPN,BPN,LLW
418,L,MTK,G3,SMTA,LL,PDG,LTW
419,P,MTK,G4,SRJN,GRD,PDG,LLW
420,P,MTK,G3,SMTA,LL,PS,LLW
421,P,MTK,G3,SMTA,LL,PNS,LTW
422,P,MTK,G3,SRJN,PS,PDG,LLW
423,P,MTK,G5,SMTA,PDG,PDG,LLW
424,L,MTK,G3,SMTA,PDG,BPN,LLW
425,L,MTK,G3,SMTA,LL,PSN,LTW
426,P,MTK,G3,SMTA,PNS,PS,LLW
427,P,MTK,G4,SMTA,BPN,PNS,LLW
428,P,MTK,G2,SMTA,PDG,GRD,LLW
429,P,MTK,G3,SRJN,GRD,GRD,LLW
430,P,MTK,G3,SMTA,LL,ABRI,LLW
431,P,MTK,G4,SRJN,GRD,PSN,LLW
432,P,MTK,G3,SMTA,LL,PNS,LLW
433,P,MTK,G3,SD,PDG,PDG,LLW
434,P,MTK,G4,SMTA,BPN,GRD,LLW
435,P,MTK,G3,SRJN,PNS,PSN,LLW
436,P,MTK,G2,SMP,BPN,BPN,LLW
437,P,MTK,G3,SRJN,GRD,LL,LLW
438,P,MTK,G5,SMTA,PDG,PDG,LLW
439,P,MTK,G3,SMTA,PS,BPN,LLW
440,P,MTK,G4,SRJN,PNS,PSN,LTW
441,P,MTK,G4,SMTA,PS,GRD,LLW
442,P,MTK,G5,SMTA,LL,BPN,LLW
443,P,MTK,G4,SMTA,PNS,PDG,LTW
444,P,MTK,G3,SMTA,LL,ABRI,LLW
445,P,MTK,G3,SMTA,PDG,PDG,LTW
446,L,MTK,G4,SD,LL,GRD,LLW
447,P,MTK,G3,SD,LL,PS,LTW
448,L,MTK,G3,SMTA,PDG,BPN,LLW
449,P,MTK,G3,SMTA,PNS,PDG,LTW
450,P,MTK,G3,SMTA,LL,BPN,LTW
451,P,MTK,G3,SRJN,GRD,GRD,LLW
452,P,MTK,G5,SMTA,PDG,PNS,LTW
453,L,MTK,G2,SRJN,GRD,PDG,LLW
454,P,MTK,G3,SMP,PDG,LL,LLW
455,P,MTK,G4,SRJN,GRD,GRD,LLW
456,P,MTK,G3,SRJN,PDG,PNS,LLW
457,P,MTK,G2,SMTA,PDG,PDG,LLW
458,P,MTK,G2,SMTA,LL,PSN,LLW
459,L,MTK,G2,SD,PDG,PDG,LC
460,P,MTK,G3,SMTA,PS,PNS,LTW
461,P,MTK,G4,SRJN,GRD,PNS,LLW
462,P,MTK,G3,SMP,LL,PDG,LTW
463,P,MTK,G2,SMTA,PDG,PDG,LTW
464,P,MTK,G3,SMP,PDG,PDG,LLW
465,L,MTK,G2,SD,BPN,PDG,LLW
466,P,MTK,G3,SMTA,LL,PS,LLW
467,P,MTK,G3,SMTA,PNS,PNS,LTW
468,L,MTK,G3,SD,BPN,BPN,LLW
469,L,MTK,G3,SMTA,LL,PNS,LLW
470,P,MTK,G2,LL,LL,BPN,LC
471,P,MTK,G5,SRJN,LL,PS,LLW
472,P,MTK,G1,SMP,BPN,BPN,LC
473,P,MTK,G2,SRJN,PDG,PDG,LLW
474,P,MTK,G1,SMP,LL,PDG,LTW
475,P,MTK,G3,SMTA,PDG,PNS,LLW
476,P,MTK,G3,SD,LL,PDG,LLW
477,P,MTK,G1,SMTA,PDG,LL,LLW
478,L,MTK,G6,SRJN,PS,PNS,LLW
479,P,MTK,G4,SRJN,GRD,GRD,LLW
480,L,MTK,G3,SMP,BPN,PS,LLW
481,P,MTK,G3,SD,PDG,BPN,LLW
482,P,MTK,G3,SMP,LL,PNS,LLW
483,P,MTK,G4,SMTA,LL,PDG,LTW
484,L,MTK,G4,LL,PS,PDG,LLW
485,P,MTK,G2,SMP,PDG,PDG,LTW
486,P,MTK,G2,SMTA,LL,PS,LLW
487,P,MTK,G2,SMTA,LL,BPN,LLW
488,P,MTK,G3,SMP,PDG,PDG,LLW
489,L,MTK,G4,SD,PDG,PNS,LLW
490,L,MTK,G4,SMTA,LL,PS,LLW
491,P,MTK,G4,SMTA,BPN,GRD,LLW
492,P,MTK,G3,SMTA,PNS,PS,LLW
493,L,MTK,G4,SRJN,PNS,GRD,LLW
494,L,MTK,G1,SD,BPN,BPN,LLW
