,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
2558,P,BIO,G1,SD,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2559,P,IF,G4,SRJN,GRD,PS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2560,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2561,L,IF,G5,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2562,P,IF,G4,LL,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2563,P,MTK,G2,LL,LL,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2564,P,BIO,G3,SMTA,LL,PDG,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2565,P,BIO,G2,SRJN,LL,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_CUM,IPK_CUM
2566,P,BIO,G3,SRJN,GRD,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2567,L,IF,G2,SMTA,LL,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2568,L,IF,G1,SD,LL,LL,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2569,P,IF,G4,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2570,L,IF,G4,SRJN,LL,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_M,IPK_CUM
2571,P,BIO,G4,SMTA,BPN,LL,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_CUM
2572,L,IF,G2,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2573,P,FISIKA,G2,SD,LL,PS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2574,P,BIO,G4,SRJN,LL,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2575,P,BIO,G2,SRJN,PDG,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2576,L,FISIKA,G2,SMP,PDG,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2577,L,IF,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2578,P,IF,G4,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2579,P,MTK,G4,SRJN,PNS,PSN,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2580,P,BIO,G4,SRJN,LL,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2581,P,MTK,G1,SMP,BPN,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2582,P,IF,G4,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_CUM,IPK_CUM
2583,L,IF,G2,SMTA,LL,PSN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2584,P,BIO,G7,SMTA,LL,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2585,P,BIO,G3,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2586,P,IF,G4,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2587,L,BIO,G4,SRJN,LL,PSN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2588,L,IF,G4,SRJN,LL,PS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2589,P,MTK,G3,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2590,P,FISIKA,G2,SD,BPN,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2591,P,BIO,G3,SD,BPN,BPN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
2592,L,IF,G4,SRJN,LL,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2593,P,BIO,G2,SRJN,LL,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_CUM,IPK_CUM
2594,L,IF,G4,SRJN,LL,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2595,P,BIO,G4,SRJN,LL,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2596,P,IF,G2,SMP,PDG,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2597,P,FISIKA,G4,SMTA,BPN,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2598,P,BIO,G2,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_SM,IPK_CUM
2599,P,BIO,G3,SRJN,GRD,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2600,P,IF,G4,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2601,P,IF,G2,SMP,PDG,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2602,P,FISIKA,G4,SMTA,BPN,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2603,P,BIO,G1,SD,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2604,P,IF,G4,LL,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2605,P,BIO,G1,SMTA,PDG,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
2606,P,BIO,G4,SRJN,PS,PNS,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2607,P,BIO,G2,SMP,LL,BPN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2608,L,IF,G4,SRJN,PNS,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2609,P,MTK,G2,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2610,P,IF,G2,SMP,PDG,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2611,P,BIO,G3,SMTA,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2612,P,BIO,G2,SRJN,PDG,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2613,P,BIO,G2,SRJN,PDG,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2614,P,IF,G2,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2615,P,FISIKA,G2,SD,BPN,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2616,P,IF,G4,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2617,P,BIO,G3,SMTA,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2618,P,IF,G2,SMP,PDG,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2619,P,FISIKA,G1,SMTA,PS,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2620,P,IF,G4,SRJN,LL,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2621,P,MTK,G3,SMTA,LL,PSN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
