,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
742,P,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_B,LTW
1177,L,AKU,G4,SRJN,PS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
3235,L,KOM,G5,SRJN,PDG,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6202,L,HUK,G4,SRJN,PNS,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
5702,L,HUK,G4,SMTA,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
3427,L,KOM,G7,SRJN,GRD,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6274,L,HUK,G3,SRJN,PDG,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LTW
6070,L,HUK,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_C,SKS2_B,LLW
3259,P,KOM,G3,SRJN,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LTW
5697,L,HUK,G3,SMTA,PS,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
2123,P,EKO,G3,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
770,P,AKU,G4,SRJN,PNS,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_B,LTW
3364,L,KOM,G7,SMTA,PDG,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6196,P,HUK,G4,SRJN,LL,PSN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
3106,L,KOM,G2,SMTA,LL,PSN,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
1886,L,EKO,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
5435,P,HUK,G3,SRJN,PDG,LL,IPS1_SM,IPS2_SM,SKS1_K,SKS2_B,LTW
6008,P,HUK,G3,SMTA,LL,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,LLW
1790,L,EKO,G3,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LTW
2161,P,EKO,G3,SMTA,PDG,BPN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
3244,P,KOM,G1,SD,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
1202,L,AKU,G4,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
2056,P,EKO,G3,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
1109,L,AKU,G3,SRJN,GRD,LL,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6208,L,HUK,G5,SMTA,PDG,ABRI,IPS1_M,IPS2_KM,SKS1_B,SKS2_SB,LLW
6345,L,HUK,G6,SRJN,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
2282,P,EKO,G3,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
5796,L,HUK,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
3094,P,KOM,G4,SRJN,ABRI,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3425,P,KOM,G3,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6129,P,HUK,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
3459,P,KOM,G3,SMTA,PS,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6112,P,HUK,G1,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LC
5402,P,HUK,G2,SRJN,PNS,PDG,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_K,LLW
5711,P,HUK,G7,SRJN,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
5142,P,HUK,G3,SRJN,PS,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
874,P,AKU,G4,SRJN,PNS,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
1827,L,EKO,G3,SMTA,PSN,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
3336,L,KOM,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3232,L,KOM,G5,SRJN,GRD,LL,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
