,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
504,P,MTK,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
505,P,MTK,G3,LL,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
506,P,MTK,G1,SD,BPN,BPN,IPS1_M,IPS2_CUM,SKS1_B,SKS2_B,LLW
507,P,MTK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
508,P,MTK,G1,SMP,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LC
509,P,MTK,G3,SMTA,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
510,L,MTK,G3,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
511,P,MTK,G3,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
512,P,MTK,G3,SMTA,PNS,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
513,L,MTK,G3,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
514,L,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
515,L,MTK,G2,LL,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
516,P,MTK,G4,SRJN,GRD,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
517,L,MTK,G2,SD,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
518,P,MTK,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
519,P,MTK,G5,SRJN,PS,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
520,P,MTK,G3,SRJN,PDG,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
521,P,MTK,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
522,P,MTK,G4,SMP,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
523,L,MTK,G2,LL,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
524,P,MTK,G2,SMP,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
525,L,MTK,G3,SMTA,PDG,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
526,L,MTK,G3,SMTA,PSN,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LTW
527,P,MTK,G3,SMTA,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LLW
528,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
529,L,MTK,G3,LL,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
530,P,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
531,L,MTK,G2,LL,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
532,L,MTK,G2,SMP,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
533,P,MTK,G4,LL,LL,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
534,P,MTK,G2,SD,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
535,P,MTK,G4,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
536,P,MTK,G4,SRJN,LL,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
537,P,MTK,G6,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
538,P,MTK,G2,SMTA,PSN,PSN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
539,P,MTK,G4,SMTA,LL,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LTW
540,P,MTK,G2,LL,LL,LL,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
541,L,MTK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
542,P,MTK,G2,LL,PDG,LL,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
543,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
544,P,MTK,G2,SMP,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
545,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
546,P,MTK,G2,SD,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
547,P,MTK,G3,SD,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
548,P,MTK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
549,P,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
550,P,MTK,G3,SMTA,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
551,P,MTK,G2,SMP,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
552,P,MTK,G3,SMTA,LL,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
553,P,MTK,G4,SMTA,PNS,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
554,P,MTK,G4,SRJN,PSN,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
555,P,MTK,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
556,P,MTK,G3,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
557,P,MTK,G2,SMTA,BPN,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
558,P,MTK,G3,SMTA,PDG,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
559,L,MTK,G4,SMP,LL,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
560,L,MTK,G5,SRJN,PNS,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
561,P,MTK,G4,SRJN,PDG,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
562,L,MTK,G2,SD,PS,PS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
563,P,MTK,G4,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
564,L,MTK,G3,SRJN,PNS,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LTW
565,P,MTK,G6,SMTA,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
566,P,MTK,G5,SMTA,PNS,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
567,P,MTK,G3,SRJN,PDG,GRD,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
568,P,MTK,G2,SMP,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LTW
569,P,MTK,G2,LL,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
570,P,MTK,G3,SMTA,PS,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
571,P,MTK,G4,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LTW
572,P,MTK,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
573,P,MTK,G7,SRJN,LL,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
574,P,MTK,G3,SMP,LL,PS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
575,P,MTK,G3,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
576,P,MTK,G2,SMP,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
