,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
1205,L,MTK,G2,SRJN,PSN,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
1800,L,BIO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
1630,P,BIO,G3,SMTA,LL,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
1026,P,MTK,G3,SMTA,PNS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
2265,L,IF,G1,SD,LL,LL,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
1157,P,MTK,G2,SD,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
956,P,MTK,G2,SMP,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1618,P,BIO,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1806,P,BIO,G4,SRJN,LL,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
1620,P,BIO,G2,SD,LL,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
136,P,FISIKA,G2,SMTA,GRD,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
1534,L,BIO,G2,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_M
465,P,FISIKA,G2,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
1781,L,BIO,G5,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1870,P,BIO,G2,SD,BPN,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
2198,L,IF,G3,SRJN,PS,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
1542,P,BIO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
2252,P,IF,G2,SMTA,BPN,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
2188,L,IF,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
166,L,FISIKA,G3,SMP,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,IPK_KM
91,L,FISIKA,G3,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_K,SKS2_B,IPK_KM
264,P,FISIKA,G3,SMTA,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1696,P,BIO,G2,SD,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
501,P,FISIKA,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
2250,P,IF,G2,LL,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
159,P,FISIKA,G1,SD,PDG,BPN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
188,L,FISIKA,G1,SMP,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1567,P,BIO,G3,SMTA,LL,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1582,L,BIO,G2,SMP,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
959,L,MTK,G1,SRJN,LL,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_M
141,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
928,L,MTK,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
234,P,FISIKA,G1,SMTA,LL,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1305,P,MTK,G4,SMTA,BPN,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1255,P,MTK,G2,LL,LL,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
550,L,FISIKA,G5,SRJN,GRD,LL,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,IPK_SM
1811,L,BIO,G2,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
140,P,FISIKA,G2,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_KM
2170,P,IF,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
2226,L,IF,G4,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
314,L,FISIKA,G4,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1700,P,BIO,G2,SMTA,PS,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1805,P,BIO,G2,SMP,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
387,P,FISIKA,G4,SD,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
967,P,MTK,G4,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1984,P,BIO,G3,SRJN,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_CUM
1705,L,BIO,G3,SRJN,GRD,PDG,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
241,P,FISIKA,G3,SRJN,LL,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1077,P,MTK,G4,SRJN,PDG,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1586,P,BIO,G3,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1536,L,BIO,G2,SMP,LL,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
1150,P,MTK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
470,P,FISIKA,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
1730,P,BIO,G5,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
902,L,MTK,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_C,SKS2_B,IPK_M
223,L,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
857,P,MTK,G2,SMTA,PDG,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_C,IPK_KM
454,P,FISIKA,G3,LL,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
861,P,MTK,G3,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_C,SKS2_C,IPK_SM
1659,L,BIO,G3,SRJN,PDG,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1514,P,BIO,G3,SMP,LL,PS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1975,P,BIO,G3,SMTA,LL,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_B,IPK_CUM
204,L,FISIKA,G1,SD,BPN,BPN,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1282,P,MTK,G3,SD,PDG,PDG,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1903,P,BIO,G2,SD,LL,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
221,P,FISIKA,G2,LL,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
151,P,FISIKA,G2,SMTA,LL,ABRI,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
282,P,FISIKA,G1,SD,LL,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1808,P,BIO,G4,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
546,P,FISIKA,G3,SD,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
978,L,MTK,G3,SMTA,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
1270,L,MTK,G7,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
852,P,MTK,G2,SMP,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_KM
874,P,MTK,G1,SMP,PS,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
2065,L,IF,G5,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
2092,L,IF,G4,SRJN,GRD,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1131,P,MTK,G2,SD,PDG,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
932,P,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1559,P,BIO,G3,SRJN,LL,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
858,P,MTK,G2,SMP,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_KM
1065,P,MTK,G3,SMP,PDG,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
901,P,MTK,G1,SMTA,LL,LL,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
886,L,MTK,G3,LL,PDG,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
1917,P,BIO,G3,SMP,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
2150,L,IF,G2,LL,PDG,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1221,L,MTK,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1553,L,BIO,G3,SMTA,LL,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1960,P,BIO,G2,SMP,LL,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
1738,P,BIO,G3,LL,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
1712,P,BIO,G4,SMTA,GRD,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1634,P,BIO,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
265,P,FISIKA,G3,SMTA,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1948,P,BIO,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_CUM
